mountain_no,mountain_name,current_review_category,distance_gemini_to_gpx_candidate_m,gpx_support_tier,name_evidence_tier,municipality_compatibility,elevation_diff_csv_to_proposed_m,distance_csv_to_proposed_m,review_reason_codes,passes_S0,passes_S1,passes_S2,passes_S3,passes_S4,passes_S5,best_candidate_policy,explanation
176,永納山(永納山城址),conflict_case,890.6,distant_gpx_support,name_missing,municipality_adjacent,-228.6,,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(890.6m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; multiple_strong_candidates_conflict; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=228.6m>200m)
178,土亀山,manual_review_required,790.6,distant_gpx_support,name_missing,municipality_exact,-203.2,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(790.6m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=203.2m>200m)
181,星岡山,quick_review_recommended,465.2,weak_gpx_support,name_exact_track_contains,municipality_exact,6,,,false,false,false,true,false,false,S3,distance_gemini_to_gpx(465.2m)>150m
185,岩子山,quick_review_recommended,237,medium_gpx_support,name_exact_track_contains,municipality_exact,0.2,,,false,true,true,true,true,true,S1,distance_gemini_to_gpx(237m)>150m
186,垣生山,manual_review_required,797.9,distant_gpx_support,name_exact_track_contains,municipality_exact,7.2,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(797.9m)>150m
194,我合山（我合城址）,quick_review_recommended,441.6,weak_gpx_support,name_token_containment_strong,municipality_exact,0.6,,,false,false,false,false,false,false,none,distance_gemini_to_gpx(441.6m)>150m
199,遠見山,manual_review_required,248.8,medium_gpx_support,name_missing,municipality_exact,79.5,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(248.8m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
202,鳥越山,manual_review_required,399.9,weak_gpx_support,name_missing,municipality_exact,-11.8,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(399.9m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
206,古城山,conflict_case,931.3,distant_gpx_support,name_missing,municipality_exact,-17,,name_mismatch;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(931.3m)>150m; name_tier(name_missing)_not_strong; multiple_strong_candidates_conflict; name_mismatch_or_warning
208,宝ヶ峯,conflict_case,63,strong_gpx_support,name_exact_track_contains,municipality_exact,5.1,,multiple_strong_candidates_conflict,false,false,false,false,false,false,none,multiple_strong_candidates_conflict
209,淡路ヶ峠,conflict_case,676.6,distant_gpx_support,name_exact_track_contains,municipality_exact,-5.9,,multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(676.6m)>150m; multiple_strong_candidates_conflict
210,福見山,manual_review_required,203.6,medium_gpx_support,name_missing,municipality_adjacent,744.7,,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning,false,false,false,false,false,false,none,distance_gemini_to_gpx(203.6m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=744.7m>200m)
214,左谷ノ森,manual_review_required,512.5,distant_gpx_support,name_missing,municipality_adjacent,625.7,,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(512.5m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=625.7m>200m)
217,皿ヶ嶺,manual_review_required,770.8,distant_gpx_support,name_exact_track_contains,municipality_adjacent,1,,municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(770.8m)>150m
222,西赤石山,conflict_case,439.5,weak_gpx_support,name_missing,municipality_exact,202.3,,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(439.5m)>150m; name_tier(name_missing)_not_strong; multiple_strong_candidates_conflict; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=202.3m>200m)
223,物住頭,manual_review_required,238,medium_gpx_support,name_missing,municipality_exact,177,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(238m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
233,天狗岳,manual_review_required,379.5,weak_gpx_support,name_missing,municipality_exact,462.1,,csv_elevation_mismatch;name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(379.5m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=462.1m>200m)
234,石鎚山,manual_review_required,129.4,strong_gpx_support,name_missing,municipality_exact,452.1,,csv_elevation_mismatch;name_mismatch,false,false,false,false,false,false,none,name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=452.1m>200m)
238,冠岳,conflict_case,656.1,distant_gpx_support,name_missing,municipality_exact,534.7,,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(656.1m)>150m; name_tier(name_missing)_not_strong; multiple_strong_candidates_conflict; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=534.7m>200m)
239,東赤石山,manual_review_required,671.1,distant_gpx_support,name_exact_track_contains,municipality_exact,88,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(671.1m)>150m
248,瀬戸黒森,manual_review_required,698.2,distant_gpx_support,name_exact_track_contains,municipality_exact,111.7,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(698.2m)>150m
258,御串山,manual_review_required,798.3,distant_gpx_support,name_exact_track_contains,municipality_unknown,3.2,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(798.3m)>150m; municipality_comp(municipality_unknown)_invalid
264,大黒山,conflict_case,607.4,distant_gpx_support,name_missing,municipality_exact,21.9,,name_mismatch;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(607.4m)>150m; name_tier(name_missing)_not_strong; multiple_strong_candidates_conflict; name_mismatch_or_warning
266,郭公岳,manual_review_required,259.5,medium_gpx_support,name_missing,municipality_exact,-157.6,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(259.5m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
267,東高月山,manual_review_required,650.2,distant_gpx_support,name_missing,municipality_adjacent,20.6,,name_mismatch;municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(650.2m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning
268,高月山,manual_review_required,586.4,distant_gpx_support,name_missing,municipality_adjacent,68.6,,name_mismatch;municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(586.4m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning
279,城山,manual_review_required,347.8,weak_gpx_support,name_missing,municipality_exact,114.5,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(347.8m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
284,斎藤山,manual_review_required,841.8,distant_gpx_support,name_missing,municipality_exact,123.3,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(841.8m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
287,小屋ヶ森,quick_review_recommended,435.5,weak_gpx_support,name_exact_track_contains,municipality_adjacent,16.4,,municipality_adjacent_warning,false,false,false,false,false,false,none,distance_gemini_to_gpx(435.5m)>150m
288,串ヶ森,conflict_case,543.1,distant_gpx_support,name_missing,municipality_adjacent,4.6,,name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(543.1m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; multiple_strong_candidates_conflict; name_mismatch_or_warning
289,目黒鳥屋,manual_review_required,895,distant_gpx_support,name_exact_track_contains,municipality_adjacent,-44,,municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(895m)>150m
290,長尾森,manual_review_required,437.2,weak_gpx_support,name_missing,municipality_adjacent,17.7,,name_mismatch;municipality_adjacent_warning,false,false,false,false,false,false,none,distance_gemini_to_gpx(437.2m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning
295,五代ヶ森,manual_review_required,742.5,distant_gpx_support,name_missing,municipality_exact,335.4,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(742.5m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=335.4m>200m)
311,子持権現山,manual_review_required,685.7,distant_gpx_support,name_missing,municipality_boundary_compatible,-177.4,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(685.7m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
323,二の森,manual_review_required,809.6,distant_gpx_support,name_missing,municipality_adjacent,-321.2,,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(809.6m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=321.2m>200m)
341,秋葉山,manual_review_required,236.3,medium_gpx_support,name_missing,municipality_exact,-63.4,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(236.3m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
343,明神山,manual_review_required,406.8,weak_gpx_support,name_missing,municipality_exact,-60.4,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(406.8m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
350,行道山,quick_review_recommended,458.4,weak_gpx_support,name_exact_track_contains,municipality_exact,-30.9,,,false,false,false,true,false,false,S3,distance_gemini_to_gpx(458.4m)>150m
357,尉之山,manual_review_required,339.6,weak_gpx_support,name_missing,municipality_exact,-31.3,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(339.6m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
375,大頭山,manual_review_required,137.5,strong_gpx_support,name_missing,municipality_unknown,-4.6,,name_mismatch,false,false,false,false,false,false,none,name_tier(name_missing)_not_strong; municipality_comp(municipality_unknown)_invalid; name_mismatch_or_warning
376,高取山,manual_review_required,999.1,distant_gpx_support,name_exact_activity_title_contains,municipality_unknown,40.3,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(999.1m)>150m; municipality_comp(municipality_unknown)_invalid
392,高山,quick_review_recommended,186.5,medium_gpx_support,name_exact_track_contains,municipality_unknown,43.7,,,false,false,false,false,false,false,none,distance_gemini_to_gpx(186.5m)>150m; municipality_comp(municipality_unknown)_invalid
396,高土の峰,manual_review_required,799,distant_gpx_support,name_missing,municipality_boundary_compatible,62.5,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(799m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
415,貝渚山,manual_review_required,394.1,weak_gpx_support,name_missing,municipality_exact,-30.1,,name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(394.1m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
417,東黒森,manual_review_required,949.7,distant_gpx_support,name_exact_track_contains,municipality_boundary_compatible,1.9,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(949.7m)>150m
422,天狗ノ森,conflict_case,349.5,weak_gpx_support,name_exact_track_contains,municipality_outside_prefecture,5.4,,municipality_outside_prefecture,false,false,false,false,false,false,none,distance_gemini_to_gpx(349.5m)>150m; municipality_comp(municipality_outside_prefecture)_invalid
424,千秋寺山,conflict_case,983.5,distant_gpx_support,name_missing,municipality_exact,-8.8,,name_mismatch;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(983.5m)>150m; name_tier(name_missing)_not_strong; multiple_strong_candidates_conflict; name_mismatch_or_warning
427,剣山,manual_review_required,552.3,distant_gpx_support,name_missing,municipality_boundary_compatible,-20.7,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(552.3m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
428,東光森山,conflict_case,518.3,distant_gpx_support,name_missing,municipality_boundary_compatible,-205.3,,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(518.3m)>150m; name_tier(name_missing)_not_strong; multiple_strong_candidates_conflict; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=205.3m>200m)
429,別子山,manual_review_required,671.4,distant_gpx_support,name_missing,municipality_exact,-73,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(671.4m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
431,大座礼山,manual_review_required,749.5,distant_gpx_support,name_missing,municipality_boundary_compatible,217.6,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(749.5m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=217.6m>200m)
435,東ノ冠岳,manual_review_required,468.7,weak_gpx_support,name_missing,municipality_exact,400.1,,csv_elevation_mismatch;name_mismatch,false,false,false,false,false,false,none,distance_gemini_to_gpx(468.7m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=400.1m>200m)
439,天満山,manual_review_required,678.5,distant_gpx_support,name_missing,municipality_exact,88.4,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(678.5m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
445,梁瀬山,manual_review_required,671.9,distant_gpx_support,name_missing,municipality_exact,36.3,,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(671.9m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
464,飯之山,manual_review_required,562.8,distant_gpx_support,name_exact_activity_title_contains,municipality_exact,-38.2,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(562.8m)>150m
474,塩塚峰,manual_review_required,550.5,distant_gpx_support,name_missing,municipality_exact,289.2,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(550.5m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=289.2m>200m)
477,笠松山東峰,manual_review_required,733.2,distant_gpx_support,name_missing,municipality_boundary_compatible,228.6,,csv_elevation_mismatch;name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(733.2m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=228.6m>200m)
478,尻割山,conflict_case,440.6,weak_gpx_support,name_missing,municipality_exact,-182.3,,name_mismatch;multiple_strong_candidates_conflict,false,false,false,false,false,false,none,distance_gemini_to_gpx(440.6m)>150m; name_tier(name_missing)_not_strong; multiple_strong_candidates_conflict; name_mismatch_or_warning
480,権現山,manual_review_required,731.9,distant_gpx_support,name_exact_track_contains,municipality_exact,2.1,,gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(731.9m)>150m
497,面木山,manual_review_required,534.4,distant_gpx_support,name_missing,municipality_adjacent,357.8,,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(534.4m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning; csv_elevation_mismatch(abs_diff=357.8m>200m)
500,丸山,manual_review_required,737.1,distant_gpx_support,name_missing,municipality_adjacent,-182.6,,name_mismatch;municipality_adjacent_warning;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(737.1m)>150m; name_tier(name_missing)_not_strong; municipality_adjacent_without_strong_name; name_mismatch_or_warning
518,笠松山,manual_review_required,996.5,distant_gpx_support,name_missing,municipality_exact,-82.8,996.5,name_mismatch;gpx_distant_support,false,false,false,false,false,false,none,distance_gemini_to_gpx(996.5m)>150m; name_tier(name_missing)_not_strong; name_mismatch_or_warning
