proposed_summit_candidate_id,assigned_mountain_count,mountain_nos,mountain_names,source_gpx_basename,track_name,min_distance_gemini_to_gpx_candidate_m,max_distance_gemini_to_gpx_candidate_m,review_categories,reason_codes,diagnostic_note
summit-candidate:541ec86327b86307,1,110,小富士,yamap_2022-10-11_15_15.gpx,黒崎山,722.3,722.3,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:1ed32ce6414c2781,3,114;115;477,世田山;笠松山;笠松山東峰,yamap_2022-12-25_13_36.gpx,医王山,347.9,969,manual_review_required;manual_review_required;manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support;csv_elevation_mismatch,name_mismatch;csv_elevation_mismatch,name_mismatch,gpx_distant_support",Requires manual interpretation.
summit-candidate:d0f2d4ee46a862c3,1,176,永納山(永納山城址),yamap_2022-08-26_08_45.gpx,世田山・笠松山,890.6,890.6,conflict_case,"csv_elevation_mismatch,name_mismatch,municipality_adjacent_warning,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:1432f597b5dca157,1,178,土亀山,yamap_2023-01-28_14_27.gpx,古城山・尾崎山,790.6,790.6,manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:5c9365b2a5a9c97f,1,181,星岡山,yamap_2022-12-31_15_00.gpx,星岡山,465.2,465.2,quick_review_recommended,,Candidate assigned to only one mountain.
summit-candidate:45f49d8fd831427c,2,185;186,岩子山;垣生山,yamap_2023-01-06_11_33.gpx,岩子山・垣生山・津田山・弁天山,237,797.9,quick_review_recommended;manual_review_required,;gpx_distant_support,Track name '岩子山・垣生山・津田山・弁天山' suggests a traverse covering multiple peaks.
summit-candidate:8a7a47d167c1aba6,1,194,我合山（我合城址）,yamap_2023-01-08_14_24.gpx,黒瀬山(黒瀬城址)・岡山(岡山城址)・鉢ヶ森(鉢ヶ森城址)・護摩ヶ森(護摩ヶ森城址)・我合山(...,441.6,441.6,quick_review_recommended,,Candidate assigned to only one mountain.
summit-candidate:40d5b4863907057a,1,199,遠見山,yamap_2022-02-09_10_01.gpx,佐田岬と伽藍山,248.8,248.8,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:c7de309bf838af87,1,202,鳥越山,yamap_2022-10-14_13_42.gpx,泰の山,399.9,399.9,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:82d3009a6c1b2511,1,206,古城山,yamap_2022-10-03_14_57.gpx,雄甲山・雌甲山,931.3,931.3,conflict_case,"name_mismatch,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:d43fade4de3e33c8,2,208;209,宝ヶ峯;淡路ヶ峠,yamap_2023-03-05_11_09.gpx,宝ヶ峯・淡路ヶ峠,63,676.6,conflict_case;conflict_case,multiple_strong_candidates_conflict;multiple_strong_candidates_conflict,Track name '宝ヶ峯・淡路ヶ峠' suggests a traverse covering multiple peaks.
summit-candidate:d03c84134ca0989d,2,210;214,福見山;左谷ノ森,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),203.6,512.5,manual_review_required;manual_review_required,"csv_elevation_mismatch,name_mismatch,municipality_adjacent_warning;csv_elevation_mismatch,name_mismatch,municipality_adjacent_warning,gpx_distant_support",Track name '高森山・岩伽羅山・衣掛山・吉山(吉山城址)' suggests a traverse covering multiple peaks.
summit-candidate:7a1f0e8b5f9e5cc2,1,217,皿ヶ嶺,yamap_2022-04-15_11_52.gpx,皿ヶ嶺・引地山,770.8,770.8,manual_review_required,"municipality_adjacent_warning,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:a557f14fb032a808,1,222,西赤石山,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,439.5,439.5,conflict_case,"csv_elevation_mismatch,name_mismatch,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:53d0e375c60814f6,1,223,物住頭,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,238,238,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:4ffd2320af7e6acc,1,238,冠岳,yamap_2023-04-09_09_08.gpx,菊ヶ森・餓鬼ヶ森,656.1,656.1,conflict_case,"csv_elevation_mismatch,name_mismatch,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:5104c47f17101d63,1,239,東赤石山,yamap_2022-10-08_06_12.gpx,東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山,671.1,671.1,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:f7593239fa7bdcc9,1,248,瀬戸黒森,yamap_2023-11-19_06_46.gpx,瀬戸黒森・三森・羽子山・観音森,698.2,698.2,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:02d59cd1260af017,1,258,御串山,yamap_2024-01-27_10_11.gpx,御串山,798.3,798.3,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:f7e5fd7b11eb7bd4,1,264,大黒山,yamap_2024-02-24_07_06.gpx,高月山・東高月山・郭公岳・櫨ヶ森・毛山,607.4,607.4,conflict_case,"name_mismatch,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:27c1036d4aa2230e,2,266;287,郭公岳;小屋ヶ森,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,259.5,435.5,manual_review_required;quick_review_recommended,name_mismatch;municipality_adjacent_warning,Track name '鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山' suggests a traverse covering multiple peaks.
summit-candidate:9186201ca03b041d,2,267;268,東高月山;高月山,yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,586.4,650.2,manual_review_required;manual_review_required,"name_mismatch,municipality_adjacent_warning,gpx_distant_support;name_mismatch,municipality_adjacent_warning,gpx_distant_support",Track name '御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森' suggests a traverse covering multiple peaks.
summit-candidate:91cacd7deced8470,1,279,城山,yamap_2022-06-04_14_13.gpx,勝山,347.8,347.8,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:9d447faef6efe2ab,2,284;445,斎藤山;梁瀬山,yamap_2022-10-27_13_37.gpx,冨士山,671.9,841.8,manual_review_required;manual_review_required,"name_mismatch,gpx_distant_support;name_mismatch,gpx_distant_support",Requires manual interpretation.
summit-candidate:7ceb76663c2bb81b,1,288,串ヶ森,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,543.1,543.1,conflict_case,"name_mismatch,municipality_adjacent_warning,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:12c27f259b66de80,1,289,目黒鳥屋,yamap_2024-03-30_07_11.gpx,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,895,895,manual_review_required,"municipality_adjacent_warning,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:91ebf1d99654d5b2,2,290;478,長尾森;尻割山,yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,437.2,440.6,manual_review_required;conflict_case,"name_mismatch,municipality_adjacent_warning;name_mismatch,multiple_strong_candidates_conflict",Track name '鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山' suggests a traverse covering multiple peaks.
summit-candidate:b73a23fa4b3abc39,1,295,五代ヶ森,yamap_2023-09-06_13_30.gpx,冠岳,742.5,742.5,manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:f09a1f754bcb761e,1,311,子持権現山,yamap_2022-07-10_07_25.gpx,男山・瓶ヶ森・西黒森,685.7,685.7,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:a61fd78e4e062683,1,323,二の森,yamap_2023-10-22_06_44.gpx,二ノ岳・高森,809.6,809.6,manual_review_required,"csv_elevation_mismatch,name_mismatch,municipality_adjacent_warning,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:61304308f9a58d0d,2,341;343,秋葉山;明神山,yamap_2026-01-11_07_50.gpx,黒岩岳,236.3,406.8,manual_review_required;manual_review_required,name_mismatch;name_mismatch,Requires manual interpretation.
summit-candidate:cfd366be872f9534,1,350,行道山,yamap_2024-12-22_06_34.gpx,八倉山・行道山・水晶ヶ森,458.4,458.4,quick_review_recommended,,Candidate assigned to only one mountain.
summit-candidate:ea33d870d4700a56,1,357,尉之山,yamap_2022-03-03_10_47.gpx,奥之城山・ヌタノサコ,339.6,339.6,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:d456af62868c5044,1,375,大頭山,yamap_2025-03-10_08_18.gpx,姫政山,137.5,137.5,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:b9ae103da9e3136b,1,376,高取山,yamap_2025-02-09_12_21.gpx,八幡山,999.1,999.1,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:c9aa57cdeb1b49fa,1,392,高山,yamap_2025-03-20_08_27.gpx,高山・大里山・泰ノ山,186.5,186.5,quick_review_recommended,,Candidate assigned to only one mountain.
summit-candidate:02fa4cfab6fa90d3,1,396,高土の峰,yamap_2022-12-12_08_41.gpx,遠ヶ森,799,799,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:00dfcd8bd36a1f00,1,415,貝渚山,yamap_2025-08-15_11_47.gpx,五段城,394.1,394.1,manual_review_required,name_mismatch,Candidate assigned to only one mountain.
summit-candidate:20f1c44b99e3d708,1,417,東黒森,yamap_2025-07-06_09_43.gpx,東黒森,949.7,949.7,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:54dc6f5d29d60052,1,422,天狗ノ森,yamap_2025-08-15_09_21.gpx,天狗ノ森 ,349.5,349.5,conflict_case,municipality_outside_prefecture,Candidate assigned to only one mountain.
summit-candidate:084fa7c9e55252dc,1,424,千秋寺山,yamap_2026-03-11_10_35.gpx,野津子山・軽ノ山,983.5,983.5,conflict_case,"name_mismatch,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:65906dbbd6e5b747,1,427,剣山,yamap_2025-09-07_08_00.gpx,鶴ノ子ノ頭・石鎚山,552.3,552.3,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:c256cfef3720557f,1,428,東光森山,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,518.3,518.3,conflict_case,"csv_elevation_mismatch,name_mismatch,multiple_strong_candidates_conflict",Candidate assigned to only one mountain.
summit-candidate:b2662116bd1858b6,1,429,別子山,yamap_2025-10-05_08_42.gpx,三ッ森山・大座礼山,671.4,671.4,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:69652a1c97f3b2eb,1,431,大座礼山,yamap_2025-09-27_06_52.gpx,東光森山・別子山,749.5,749.5,manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:4b66146264e5e167,1,439,天満山,yamap_2025-09-27_06_52.gpx,東光森山・別子山,678.5,678.5,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:6756239601754708,1,464,飯之山,yamap_2026-02-14_13_33.gpx,権現山,562.8,562.8,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:eb031d650d8e9a7a,1,474,塩塚峰,yamap_2026-03-08_08_05.gpx,峰畑山,550.5,550.5,manual_review_required,"csv_elevation_mismatch,name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:e8b129f70e703be5,1,480,権現山,yamap_2026-03-07_11_08.gpx,権現山,731.9,731.9,manual_review_required,gpx_distant_support,Candidate assigned to only one mountain.
summit-candidate:59c561a08189d6b9,1,497,面木山,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,534.4,534.4,manual_review_required,"csv_elevation_mismatch,name_mismatch,municipality_adjacent_warning,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:006436491de34784,1,500,丸山,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,737.1,737.1,manual_review_required,"name_mismatch,municipality_adjacent_warning,gpx_distant_support",Candidate assigned to only one mountain.
summit-candidate:be07cff01023e072,1,518,笠松山,yamap_2023-04-09_09_08.gpx,菊ヶ森・餓鬼ヶ森,996.5,996.5,manual_review_required,"name_mismatch,gpx_distant_support",Candidate assigned to only one mountain.
