mountain_no,mountain_name,review_category,needs_human_review,proposed_summit_candidate_id,source_gpx_basename,source_gpx_path,distance_gemini_to_gpx_candidate_m,gpx_support_tier,confidence,review_reason_codes,name_evidence_tier,name_evidence_sources,municipality_compatibility,candidate_primary_municipality,candidate_municipality_matches,elevation_diff_csv_to_proposed_m,distance_csv_to_proposed_m,track_name,activity_titles_joined_count,activity_title_contains_mountain_name,candidate_shared_count
110,小富士,manual_review_required,true,summit-candidate:541ec86327b86307,yamap_2022-10-11_15_15.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-10-11_15_15.gpx,722.3,distant_gpx_support,0.576,name_mismatch;gpx_distant_support,name_missing,,municipality_unknown,松山市,松山市,193,,黒崎山,1,false,1
114,世田山,manual_review_required,true,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-12-25_13_36.gpx,969,distant_gpx_support,0.606,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,西条市;今治市,240.6,,医王山,8,false,3
115,笠松山,manual_review_required,true,summit-candidate:1ed32ce6414c2781,yamap_2022-12-25_13_36.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-12-25_13_36.gpx,347.9,weak_gpx_support,0.6583,csv_elevation_mismatch;name_mismatch,name_missing,,municipality_boundary_compatible,,西条市;今治市,258.6,,医王山,8,false,3
176,永納山(永納山城址),conflict_case,true,summit-candidate:d0f2d4ee46a862c3,yamap_2022-08-26_08_45.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-08-26_08_45.gpx,890.6,distant_gpx_support,0.566,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,name_missing,,municipality_adjacent,今治市,今治市,-228.6,,世田山・笠松山,1,false,1
178,土亀山,manual_review_required,true,summit-candidate:1432f597b5dca157,yamap_2023-01-28_14_27.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-01-28_14_27.gpx,790.6,distant_gpx_support,0.6025,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_exact,松山市,松山市,-203.2,,古城山・尾崎山,4,false,1
181,星岡山,quick_review_recommended,true,summit-candidate:5c9365b2a5a9c97f,yamap_2022-12-31_15_00.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-12-31_15_00.gpx,465.2,weak_gpx_support,0.816,,name_exact_track_contains,gpx_track_name,municipality_exact,松山市,松山市,6,,星岡山,4,true,1
185,岩子山,quick_review_recommended,true,summit-candidate:45f49d8fd831427c,yamap_2023-01-06_11_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-01-06_11_33.gpx,237,medium_gpx_support,0.8525,,name_exact_track_contains,gpx_track_name,municipality_exact,松山市,松山市,0.2,,岩子山・垣生山・津田山・弁天山,1,true,2
186,垣生山,manual_review_required,true,summit-candidate:45f49d8fd831427c,yamap_2023-01-06_11_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-01-06_11_33.gpx,797.9,distant_gpx_support,0.7705,gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_exact,松山市,松山市,7.2,,岩子山・垣生山・津田山・弁天山,1,true,2
194,我合山（我合城址）,quick_review_recommended,true,summit-candidate:8a7a47d167c1aba6,yamap_2023-01-08_14_24.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-01-08_14_24.gpx,441.6,weak_gpx_support,0.7915,,name_token_containment_strong,gpx_track_name,municipality_exact,西予市,西予市,0.6,,黒瀬山(黒瀬城址)・岡山(岡山城址)・鉢ヶ森(鉢ヶ森城址)・護摩ヶ森(護摩ヶ森城址)・我合山(...,2,false,1
199,遠見山,manual_review_required,true,summit-candidate:40d5b4863907057a,yamap_2022-02-09_10_01.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-02-09_10_01.gpx,248.8,medium_gpx_support,0.723,name_mismatch,name_missing,,municipality_exact,伊方町,伊方町,79.5,,佐田岬と伽藍山,1,false,1
202,鳥越山,manual_review_required,true,summit-candidate:c7de309bf838af87,yamap_2022-10-14_13_42.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-10-14_13_42.gpx,399.9,weak_gpx_support,0.6925,name_mismatch,name_missing,,municipality_exact,松山市,松山市,-11.8,,泰の山,3,false,1
206,古城山,conflict_case,true,summit-candidate:82d3009a6c1b2511,yamap_2022-10-03_14_57.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-10-03_14_57.gpx,931.3,distant_gpx_support,0.647,name_mismatch;multiple_strong_candidates_conflict,name_missing,,municipality_exact,松山市,松山市,-17,,雄甲山・雌甲山,1,false,1
208,宝ヶ峯,conflict_case,true,summit-candidate:d43fade4de3e33c8,yamap_2023-03-05_11_09.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-03-05_11_09.gpx,63,strong_gpx_support,0.9025,multiple_strong_candidates_conflict,name_exact_track_contains,gpx_track_name,municipality_exact,松山市,松山市,5.1,,宝ヶ峯・淡路ヶ峠,1,true,2
209,淡路ヶ峠,conflict_case,true,summit-candidate:d43fade4de3e33c8,yamap_2023-03-05_11_09.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-03-05_11_09.gpx,676.6,distant_gpx_support,0.766,multiple_strong_candidates_conflict,name_exact_track_contains,gpx_track_name,municipality_exact,松山市,松山市,-5.9,,宝ヶ峯・淡路ヶ峠,1,true,2
210,福見山,manual_review_required,true,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-22_09_04.gpx,203.6,medium_gpx_support,0.666,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning,name_missing,,municipality_adjacent,東温市,東温市,744.7,,高森山・岩伽羅山・衣掛山・吉山(吉山城址),1,false,2
214,左谷ノ森,manual_review_required,true,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-01-22_09_04.gpx,512.5,distant_gpx_support,0.5525,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,name_missing,,municipality_adjacent,東温市,東温市,625.7,,高森山・岩伽羅山・衣掛山・吉山(吉山城址),1,false,2
217,皿ヶ嶺,manual_review_required,true,summit-candidate:7a1f0e8b5f9e5cc2,yamap_2022-04-15_11_52.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-15_11_52.gpx,770.8,distant_gpx_support,0.7205,municipality_adjacent_warning;gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_adjacent,久万高原町,久万高原町,1,,皿ヶ嶺・引地山,1,true,1
222,西赤石山,conflict_case,true,summit-candidate:a557f14fb032a808,yamap_2022-11-26_04_41.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-11-26_04_41.gpx,439.5,weak_gpx_support,0.6705,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,name_missing,,municipality_exact,新居浜市,新居浜市,202.3,,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,1,false,1
223,物住頭,manual_review_required,true,summit-candidate:53d0e375c60814f6,yamap_2022-11-26_04_41.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-11-26_04_41.gpx,238,medium_gpx_support,0.726,name_mismatch,name_missing,,municipality_exact,新居浜市,新居浜市,177,,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,1,false,1
233,天狗岳,manual_review_required,true,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-05-03_08_45.gpx,379.5,weak_gpx_support,0.6705,csv_elevation_mismatch;name_mismatch,name_missing,,municipality_exact,久万高原町,久万高原町,462.1,,面河山,1,false,5
234,石鎚山,manual_review_required,true,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-05-03_08_45.gpx,129.4,strong_gpx_support,0.7705,csv_elevation_mismatch;name_mismatch,name_missing,,municipality_exact,久万高原町,久万高原町,452.1,,面河山,1,false,5
238,冠岳,conflict_case,true,summit-candidate:4ffd2320af7e6acc,yamap_2023-04-09_09_08.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-04-09_09_08.gpx,656.1,distant_gpx_support,0.6025,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,name_missing,,municipality_exact,久万高原町,久万高原町,534.7,,菊ヶ森・餓鬼ヶ森,1,false,1
239,東赤石山,manual_review_required,true,summit-candidate:5104c47f17101d63,yamap_2022-10-08_06_12.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-10-08_06_12.gpx,671.1,distant_gpx_support,0.7455,gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_exact,新居浜市,新居浜市,88,,東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山,1,true,1
248,瀬戸黒森,manual_review_required,true,summit-candidate:f7593239fa7bdcc9,yamap_2023-11-19_06_46.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-11-19_06_46.gpx,698.2,distant_gpx_support,0.726,gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_exact,愛南町,愛南町,111.7,,瀬戸黒森・三森・羽子山・観音森,1,true,1
258,御串山,manual_review_required,true,summit-candidate:02d59cd1260af017,yamap_2024-01-27_10_11.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-01-27_10_11.gpx,798.3,distant_gpx_support,0.716,gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_unknown,今治市,今治市,3.2,,御串山,5,true,1
264,大黒山,conflict_case,true,summit-candidate:f7e5fd7b11eb7bd4,yamap_2024-02-24_07_06.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-02-24_07_06.gpx,607.4,distant_gpx_support,0.647,name_mismatch;multiple_strong_candidates_conflict,name_missing,,municipality_exact,宇和島市,宇和島市,21.9,,高月山・東高月山・郭公岳・櫨ヶ森・毛山,1,false,1
266,郭公岳,manual_review_required,true,summit-candidate:27c1036d4aa2230e,yamap_2022-04-08_09_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-08_09_33.gpx,259.5,medium_gpx_support,0.726,name_mismatch,name_missing,,municipality_exact,宇和島市,宇和島市,-157.6,,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,1,false,2
267,東高月山,manual_review_required,true,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-03-30_07_11.gpx,650.2,distant_gpx_support,0.597,name_mismatch;municipality_adjacent_warning;gpx_distant_support,name_missing,,municipality_adjacent,松野町,松野町,20.6,,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,1,false,2
268,高月山,manual_review_required,true,summit-candidate:9186201ca03b041d,yamap_2024-03-30_07_11.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-03-30_07_11.gpx,586.4,distant_gpx_support,0.5955,name_mismatch;municipality_adjacent_warning;gpx_distant_support,name_missing,,municipality_adjacent,松野町,松野町,68.6,,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,1,false,2
279,城山,manual_review_required,true,summit-candidate:91cacd7deced8470,yamap_2022-06-04_14_13.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-06-04_14_13.gpx,347.8,weak_gpx_support,0.6805,name_mismatch,name_missing,,municipality_exact,松山市,松山市,114.5,,勝山,1,false,1
284,斎藤山,manual_review_required,true,summit-candidate:9d447faef6efe2ab,yamap_2022-10-27_13_37.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-10-27_13_37.gpx,841.8,distant_gpx_support,0.6125,name_mismatch;gpx_distant_support,name_missing,,municipality_exact,大洲市,大洲市,123.3,,冨士山,1,false,2
287,小屋ヶ森,quick_review_recommended,true,summit-candidate:27c1036d4aa2230e,yamap_2022-04-08_09_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-08_09_33.gpx,435.5,weak_gpx_support,0.747,municipality_adjacent_warning,name_exact_track_contains,gpx_track_name,municipality_adjacent,宇和島市,宇和島市,16.4,,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,1,true,2
288,串ヶ森,conflict_case,true,summit-candidate:7ceb76663c2bb81b,yamap_2022-04-08_09_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-08_09_33.gpx,543.1,distant_gpx_support,0.616,name_mismatch;municipality_adjacent_warning;multiple_strong_candidates_conflict,name_missing,,municipality_adjacent,宇和島市,宇和島市,4.6,,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,1,false,1
289,目黒鳥屋,manual_review_required,true,summit-candidate:12c27f259b66de80,yamap_2024-03-30_07_11.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-03-30_07_11.gpx,895,distant_gpx_support,0.6925,municipality_adjacent_warning;gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_adjacent,宇和島市,宇和島市,-44,,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,1,true,1
290,長尾森,manual_review_required,true,summit-candidate:91ebf1d99654d5b2,yamap_2022-04-08_09_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-04-08_09_33.gpx,437.2,weak_gpx_support,0.647,name_mismatch;municipality_adjacent_warning,name_missing,,municipality_adjacent,宇和島市,宇和島市,17.7,,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,1,false,2
295,五代ヶ森,manual_review_required,true,summit-candidate:b73a23fa4b3abc39,yamap_2023-09-06_13_30.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-09-06_13_30.gpx,742.5,distant_gpx_support,0.616,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_exact,久万高原町,久万高原町,335.4,,冠岳,1,false,1
311,子持権現山,manual_review_required,true,summit-candidate:f09a1f754bcb761e,yamap_2022-07-10_07_25.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-07-10_07_25.gpx,685.7,distant_gpx_support,0.616,name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,西条市,-177.4,,男山・瓶ヶ森・西黒森,0,false,1
323,二の森,manual_review_required,true,summit-candidate:a61fd78e4e062683,yamap_2023-10-22_06_44.gpx,data/01_raw/gpx/2026-05-12/yamap_2023-10-22_06_44.gpx,809.6,distant_gpx_support,0.5525,csv_elevation_mismatch;name_mismatch;municipality_adjacent_warning;gpx_distant_support,name_missing,,municipality_adjacent,西条市,西条市,-321.2,,二ノ岳・高森,1,false,1
341,秋葉山,manual_review_required,true,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,data/01_raw/gpx/2026-05-12/yamap_2026-01-11_07_50.gpx,236.3,medium_gpx_support,0.723,name_mismatch,name_missing,,municipality_exact,伊予市,伊予市,-63.4,,黒岩岳,2,false,2
343,明神山,manual_review_required,true,summit-candidate:61304308f9a58d0d,yamap_2026-01-11_07_50.gpx,data/01_raw/gpx/2026-05-12/yamap_2026-01-11_07_50.gpx,406.8,weak_gpx_support,0.6775,name_mismatch,name_missing,,municipality_exact,伊予市,伊予市,-60.4,,黒岩岳,2,false,2
350,行道山,quick_review_recommended,true,summit-candidate:cfd366be872f9534,yamap_2024-12-22_06_34.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-12-22_06_34.gpx,458.4,weak_gpx_support,0.8105,,name_exact_track_contains,gpx_track_name,municipality_exact,砥部町,砥部町,-30.9,,八倉山・行道山・水晶ヶ森,2,true,1
357,尉之山,manual_review_required,true,summit-candidate:ea33d870d4700a56,yamap_2022-03-03_10_47.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-03-03_10_47.gpx,339.6,weak_gpx_support,0.697,name_mismatch,name_missing,,municipality_exact,松山市,松山市,-31.3,,奥之城山・ヌタノサコ,1,false,1
375,大頭山,manual_review_required,true,summit-candidate:d456af62868c5044,yamap_2025-03-10_08_18.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-03-10_08_18.gpx,137.5,strong_gpx_support,0.7615,name_mismatch,name_missing,,municipality_unknown,今治市,今治市,-4.6,,姫政山,2,false,1
376,高取山,manual_review_required,true,summit-candidate:b9ae103da9e3136b,yamap_2025-02-09_12_21.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-02-09_12_21.gpx,999.1,distant_gpx_support,0.7015,gpx_distant_support,name_exact_activity_title_contains,yamap_activity_title,municipality_unknown,今治市,今治市,40.3,,八幡山,5,true,1
392,高山,quick_review_recommended,true,summit-candidate:c9aa57cdeb1b49fa,yamap_2025-03-20_08_27.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-03-20_08_27.gpx,186.5,medium_gpx_support,0.797,,name_exact_track_contains,gpx_track_name,municipality_unknown,松山市,松山市,43.7,,高山・大里山・泰ノ山,1,true,1
396,高土の峰,manual_review_required,true,summit-candidate:02fa4cfab6fa90d3,yamap_2022-12-12_08_41.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-12-12_08_41.gpx,799,distant_gpx_support,0.622,name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,砥部町;松山市,62.5,,遠ヶ森,2,false,1
415,貝渚山,manual_review_required,true,summit-candidate:00dfcd8bd36a1f00,yamap_2025-08-15_11_47.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-08-15_11_47.gpx,394.1,weak_gpx_support,0.6925,name_mismatch,name_missing,,municipality_exact,久万高原町,久万高原町,-30.1,,五段城,4,false,1
417,東黒森,manual_review_required,true,summit-candidate:20f1c44b99e3d708,yamap_2025-07-06_09_43.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-07-06_09_43.gpx,949.7,distant_gpx_support,0.7605,gpx_distant_support,name_exact_track_contains,gpx_track_name,municipality_boundary_compatible,,西条市,1.9,,東黒森,3,true,1
422,天狗ノ森,conflict_case,true,summit-candidate:54dc6f5d29d60052,yamap_2025-08-15_09_21.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-08-15_09_21.gpx,349.5,weak_gpx_support,0.716,municipality_outside_prefecture,name_exact_track_contains,gpx_track_name,municipality_outside_prefecture,,,5.4,,天狗ノ森 ,4,true,1
424,千秋寺山,conflict_case,true,summit-candidate:084fa7c9e55252dc,yamap_2026-03-11_10_35.gpx,data/01_raw/gpx/2026-05-12/yamap_2026-03-11_10_35.gpx,983.5,distant_gpx_support,0.6525,name_mismatch;multiple_strong_candidates_conflict,name_missing,,municipality_exact,松山市,松山市,-8.8,,野津子山・軽ノ山,1,false,1
427,剣山,manual_review_required,true,summit-candidate:65906dbbd6e5b747,yamap_2025-09-07_08_00.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-09-07_08_00.gpx,552.3,distant_gpx_support,0.646,name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,久万高原町;西条市,-20.7,,鶴ノ子ノ頭・石鎚山,1,false,1
428,東光森山,conflict_case,true,summit-candidate:c256cfef3720557f,yamap_2022-11-26_04_41.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-11-26_04_41.gpx,518.3,distant_gpx_support,0.6015,csv_elevation_mismatch;name_mismatch;multiple_strong_candidates_conflict,name_missing,,municipality_boundary_compatible,,新居浜市,-205.3,,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,1,false,1
429,別子山,manual_review_required,true,summit-candidate:b2662116bd1858b6,yamap_2025-10-05_08_42.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-10-05_08_42.gpx,671.4,distant_gpx_support,0.632,name_mismatch;gpx_distant_support,name_missing,,municipality_exact,新居浜市,新居浜市,-73,,三ッ森山・大座礼山,1,false,1
431,大座礼山,manual_review_required,true,summit-candidate:69652a1c97f3b2eb,yamap_2025-09-27_06_52.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-09-27_06_52.gpx,749.5,distant_gpx_support,0.6105,csv_elevation_mismatch;name_mismatch;gpx_distant_support,name_missing,,municipality_boundary_compatible,,新居浜市,217.6,,東光森山・別子山,1,false,1
435,東ノ冠岳,manual_review_required,true,summit-candidate:22e40e9eb117a033,yamap_2024-05-03_08_45.gpx,data/01_raw/gpx/2026-05-12/yamap_2024-05-03_08_45.gpx,468.7,weak_gpx_support,0.6615,csv_elevation_mismatch;name_mismatch,name_missing,,municipality_exact,久万高原町,久万高原町,400.1,,面河山,1,false,5
439,天満山,manual_review_required,true,summit-candidate:4b66146264e5e167,yamap_2025-09-27_06_52.gpx,data/01_raw/gpx/2026-05-12/yamap_2025-09-27_06_52.gpx,678.5,distant_gpx_support,0.623,name_mismatch;gpx_distant_support,name_missing,,municipality_exact,新居浜市,新居浜市,88.4,,東光森山・別子山,1,false,1
445,梁瀬山,manual_review_required,true,summit-candidate:9d447faef6efe2ab,yamap_2022-10-27_13_37.gpx,data/01_raw/gpx/2026-05-12/yamap_2022-10-27_13_37.gpx,671.9,distant_gpx_support,0.6515,name_mismatch;gpx_distant_support,name_missing,,municipality_exact,大洲市,大洲市,36.3,,冨士山,1,false,2
464,飯之山,manual_review_required,true,summit-candidate:6756239601754708,yamap_2026-02-14_13_33.gpx,data/01_raw/gpx/2026-05-12/yamap_2026-02-14_13_33.gpx,562.8,distant_gpx_support,0.7425,gpx_distant_support,name_exact_activity_title_contains,yamap_activity_title,municipality_exact,八幡浜市,八幡浜市,-38.2,,権現山,3,true,1
