source_gpx_basename,track_name,activity_titles,mountain_names_in_track_or_title,csv_mountain_nos_matched_by_name,csv_mountain_names_matched_by_name,summit_candidate_count_for_gpx,summit_candidate_ids_for_gpx,assigned_mountain_nos_using_gpx,assigned_mountain_names_using_gpx,coverage_status,diagnostic_note
yamap_2022-03-20_07_06.gpx,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,大久保山・八里ヶ峠・中坂山・天神山・室岡山・潮見山,天神山;大久保山;八里ヶ峠;中坂山;天神山;室岡山;潮見山;潮見山;大久保山,23;49;50;51;52;53;54;56;63,天神山;大久保山;八里ヶ峠;中坂山;天神山;室岡山;潮見山;潮見山;大久保山,4,summit-candidate:5e94c87cc5fcc87b;summit-candidate:5aff666aa93b3a17;summit-candidate:c2c9094225d1da63;summit-candidate:452c10a1db199870,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (9).
yamap_2022-03-23_07_38.gpx,明神山・潮見山,明神山・潮見山,潮見山;明神山;潮見山;明神山,54;55;56;343,潮見山;明神山;潮見山;明神山,2,summit-candidate:3259dfe3d9ce60c5;summit-candidate:45439217573adfc4,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (4).
yamap_2022-03-25_12_12.gpx,十門山(十門城址)・ヨソ山,十門山(十門城址)・ヨソ山,十門山(十門城址);ヨソ山,57;58,十門山(十門城址);ヨソ山,2,summit-candidate:a94564816fd4afff;summit-candidate:555fd1e3be8780dd,58,ヨソ山,candidate_count_matches_named_peaks,Candidate count (2) matches the number of named peaks in track/title.
yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,大久保山;鬼ヶ城山;三本杭;八面山;大久保山;毛山;横ノ森;小屋ヶ森,49;60;61;62;63;270;286;287,大久保山;鬼ヶ城山;三本杭;八面山;大久保山;毛山;横ノ森;小屋ヶ森,5,summit-candidate:7ceb76663c2bb81b;summit-candidate:27c1036d4aa2230e;summit-candidate:babbcdf7bbd23463;summit-candidate:91ebf1d99654d5b2;summit-candidate:40068653b28bad40,266;287;288;290;478,郭公岳;小屋ヶ森;串ヶ森;長尾森;尻割山,candidate_count_less_than_named_peaks,Under-detection: candidate count (5) is less than named peaks (8).
yamap_2022-04-09_14_44.gpx,大月山・高縄山,大月山・高縄山;白山　桜山-2022-04-09,大月山;白山;高縄山,64;276;316,大月山;白山;高縄山,2,summit-candidate:9a68e7a3a97831ff;summit-candidate:6ba0d3c6b0fb6b96,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2022-04-15_11_52.gpx,皿ヶ嶺・引地山,皿ヶ嶺・引地山,引地山;皿ヶ嶺,65;217,引地山;皿ヶ嶺,2,summit-candidate:7a1f0e8b5f9e5cc2;summit-candidate:b06e13a9483478e5,217,皿ヶ嶺,candidate_count_matches_named_peaks,Candidate count (2) matches the number of named peaks in track/title.
yamap_2022-04-22_11_13.gpx,甲が森,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,67;68;69;70;71,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,1,summit-candidate:50d68ea03af3c4ff,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-04-22_12_22.gpx,三滝山,三滝山;甲が森;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,67;68;69;70;71,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,1,summit-candidate:da65a16f23740e83,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-04-22_14_13.gpx,雨包山,雨包山;甲が森;三滝山;源氏ヶ駄場（薊野峰）;碁石ヶ森,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,67;68;69;70;71,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,1,summit-candidate:6198ad7009d86ec2,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-04-22_16_48.gpx,源氏ヶ駄場（薊野峰）,源氏ヶ駄場（薊野峰）;甲が森;三滝山;雨包山;碁石ヶ森,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,67;68;69;70;71,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,1,summit-candidate:e85b9bd32eb5e6f1,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-04-22_17_29.gpx,碁石ヶ森,碁石ヶ森;甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,67;68;69;70;71,甲が森;三滝山;雨包山;源氏ヶ駄場（薊野峰）;碁石ヶ森,1,summit-candidate:ee9d736a090185dd,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-04-25_11_35.gpx,伊之子山・左谷ノ森,横岳・大川入山;二ッ箭山・暑いです！！,伊之子山;左谷ノ森,72;214,伊之子山;左谷ノ森,2,summit-candidate:e793f83b8a4fd86f;summit-candidate:15c71a530dcecd2e,,,candidate_count_matches_named_peaks,Candidate count (2) matches the number of named peaks in track/title.
yamap_2022-04-27_10_31.gpx,御在所山,御在所山,御在所山;御在所山,73;449,御在所山;御在所山,1,summit-candidate:61f36127d879648f,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-04-30_08_30.gpx,岩黒山・筒上山・手箱山,岩黒山・筒上山・手箱山;大菩薩嶺・妙見ノ頭,岩黒山;筒上山;手箱山,74;75;76,岩黒山;筒上山;手箱山,4,summit-candidate:591204fdc01b55b6;summit-candidate:71b10e23075edf20;summit-candidate:43f9d4fa36aabb79;summit-candidate:d13554ef3debca9d,,,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (4) exceeds named peaks (3).
yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,大川嶺・笠取山・ウバホド山,大川嶺;笠取山;ウバホド山,77;78;79,大川嶺;笠取山;ウバホド山,2,summit-candidate:33637f0e3b5b1405;summit-candidate:1ebd63d8e2790409,78,笠取山,candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2022-05-05_13_29.gpx,陣ヶ森・前々司山・うなめご,陣ヶ森・前々司山・うなめご,うなめご;前々司山;陣ヶ森;陣ヶ森,80;81;82;506,うなめご;前々司山;陣ヶ森;陣ヶ森,3,summit-candidate:e084389cc60ad329;summit-candidate:e7e4429a39f6359f;summit-candidate:ea6bebee79234da7,80;81,うなめご;前々司山,candidate_count_less_than_named_peaks,Under-detection: candidate count (3) is less than named peaks (4).
yamap_2022-05-07_07_14.gpx,寒川山・鋸山・七々木山・豊受山・赤星山,寒川山・鋸山・七々木山・豊受山・赤星山;翠波峰;平石山,寒川山;豊受山;赤星山;七々木山;鋸山;翠波峰;平石山,83;84;85;86;87;88;89,寒川山;豊受山;赤星山;七々木山;鋸山;翠波峰;平石山,3,summit-candidate:2f7dbee4c5bde53e;summit-candidate:db51ae1b2be57eea;summit-candidate:eaabf45a5163fb65,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (3) is less than named peaks (7).
yamap_2022-05-15_06_10.gpx,割石東山・青滝山・堂ヶ森,割石東山・青滝山・堂ヶ森;高岳・中岳・南岳;烏帽子岳,割石東山;青滝山;堂ヶ森,90;91;92,割石東山;青滝山;堂ヶ森,6,summit-candidate:4b33f9c73e644793;summit-candidate:2b97141dc260a078;summit-candidate:242762a3c600ff91;summit-candidate:124ae25a51aa9a64;summit-candidate:bb644412fd9a132c;summit-candidate:57e8c6cb102c9500,105;106;108,鞍瀬ノ頭;二ノ森;西ノ冠岳,candidate_count_greater_than_named_peaks,Over-detection or secondary features: candidate count (6) exceeds named peaks (3).
yamap_2022-05-22_08_09.gpx,石鎚山・天狗岳・南尖峰,石鎚山・天狗岳・南尖峰;万二郎岳（天城山）・万三郎岳（天城山）,南尖峰;天狗岳;石鎚山,93;233;234,南尖峰;天狗岳;石鎚山,1,summit-candidate:3b98b67bbe0fe0f9,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-06-04_14_13.gpx,勝山,勝山,勝山;勝山,95;359,勝山;勝山,1,summit-candidate:91cacd7deced8470,279,城山,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-06-16_16_00.gpx,姫草,姫草;牛城,姫草;牛城,96;97,姫草;牛城,1,summit-candidate:dc456a72b89d4d52,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-06-16_16_25.gpx,牛城,牛城;姫草,姫草;牛城,96;97,姫草;牛城,1,summit-candidate:c7ff156edb321d12,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-06-18_11_15.gpx,積善山,積善山;鉢巻山;立石山,積善山;鉢巻山;立石山,98;99;100,積善山;鉢巻山;立石山,1,summit-candidate:76a5e492c9dcf980,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-06-18_13_12.gpx,鉢巻山,鉢巻山;積善山;立石山,積善山;鉢巻山;立石山,98;99;100,積善山;鉢巻山;立石山,1,summit-candidate:c4169cdcaf61f31a,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-06-18_14_26.gpx,立石山,立石山;積善山;鉢巻山,積善山;鉢巻山;立石山,98;99;100,積善山;鉢巻山;立石山,1,summit-candidate:50aa5073a99759cf,100,立石山,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-06-20_12_02.gpx,安神山・鷲ヶ頭山,安神山・鷲ヶ頭山,鷲ヶ頭山;安神山,101;102,鷲ヶ頭山;安神山,2,summit-candidate:a92a94d8b5e0fb90;summit-candidate:159deb385560c198,101;102,鷲ヶ頭山;安神山,candidate_count_matches_named_peaks,Candidate count (2) matches the number of named peaks in track/title.
yamap_2022-07-02_07_43.gpx,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,石鎚山・西ノ冠岳・面河の頭・二ノ森・鞍瀬ノ頭,鞍瀬ノ頭;二ノ森;面河の頭;西ノ冠岳;石鎚山,105;106;107;108;234,鞍瀬ノ頭;二ノ森;面河の頭;西ノ冠岳;石鎚山,3,summit-candidate:fe43b0b6aa90cb8f;summit-candidate:bca203164e26ce6a;summit-candidate:846b096132c533d6,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (3) is less than named peaks (5).
yamap_2022-07-10_07_25.gpx,男山・瓶ヶ森・西黒森,,西黒森;男山;瓶ヶ森,109;312;313,西黒森;男山;瓶ヶ森,3,summit-candidate:db28fcca36deb720;summit-candidate:f09a1f754bcb761e;summit-candidate:ccaadb71f8ae2bd1,311,子持権現山,candidate_count_matches_named_peaks,Candidate count (3) matches the number of named peaks in track/title.
yamap_2022-07-14_09_57.gpx,小富士,小富士;龍石山,小富士;龍石山,110;111,小富士;龍石山,1,summit-candidate:75832271d4e4d0ba,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-08-26_08_45.gpx,世田山・笠松山,世田山・笠松山,世田山;笠松山;笠松山,114;115;518,世田山;笠松山;笠松山,2,summit-candidate:9d5a3bd31bedfeda;summit-candidate:d0f2d4ee46a862c3,176,永納山(永納山城址),candidate_count_less_than_named_peaks,Under-detection: candidate count (2) is less than named peaks (3).
yamap_2022-09-09_06_58.gpx,寒風山・笹ヶ峰・ちち山,寒風山・笹ヶ峰・ちち山,寒風山;ちち山;笹ヶ峰;笹ヶ峰,119;120;121;328,寒風山;ちち山;笹ヶ峰;笹ヶ峰,4,summit-candidate:23eea13de5db5c9f;summit-candidate:9a59c4b620ba3792;summit-candidate:7213c478833fd90f;summit-candidate:395bb631522975b6,,,candidate_count_matches_named_peaks,Candidate count (4) matches the number of named peaks in track/title.
yamap_2022-09-15_09_20.gpx,三山,三山;伊勢山;久司山;石灰山・古法皇山,三山;伊勢山;久司山;石灰山;古法皇山,123;124;125;126;127,三山;伊勢山;久司山;石灰山;古法皇山,1,summit-candidate:35b464661fa62df9,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-09-15_11_02.gpx,伊勢山,伊勢山;三山;久司山;石灰山・古法皇山,三山;伊勢山;久司山;石灰山;古法皇山,123;124;125;126;127,三山;伊勢山;久司山;石灰山;古法皇山,1,summit-candidate:bd145a45a7d01b99,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-09-15_11_50.gpx,久司山,久司山;三山;伊勢山;石灰山・古法皇山,三山;伊勢山;久司山;石灰山;古法皇山,123;124;125;126;127,三山;伊勢山;久司山;石灰山;古法皇山,1,summit-candidate:507809fc1a4b9e4e,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-09-15_12_35.gpx,石灰山・古法皇山,石灰山・古法皇山;三山;伊勢山;久司山,三山;伊勢山;久司山;石灰山;古法皇山,123;124;125;126;127,三山;伊勢山;久司山;石灰山;古法皇山,1,summit-candidate:4d0f5f75da9165b8,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 5 peaks. Severe peak merging occurred.
yamap_2022-09-20_14_24.gpx,極山,極山;狩江権現山,権現山;狩江権現山;極山;権現山;権現山;権現山;権現山;権現山;権現山;権現山,14;128;129;159;189;198;263;465;480;494,権現山;狩江権現山;極山;権現山;権現山;権現山;権現山;権現山;権現山;権現山,1,summit-candidate:ef5127a689eaf48a,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 10 peaks. Severe peak merging occurred.
yamap_2022-09-26_12_07.gpx,三本榎,三本榎;二反山・青刈山;鏡山,三本榎;鏡山;青刈山;二反山,131;132;304;308,三本榎;鏡山;青刈山;二反山,1,summit-candidate:8251283605282249,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 4 peaks. Severe peak merging occurred.
yamap_2022-09-26_14_04.gpx,鏡山,鏡山;二反山・青刈山;三本榎,三本榎;鏡山;青刈山;二反山,131;132;304;308,三本榎;鏡山;青刈山;二反山,1,summit-candidate:588c967023117267,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 4 peaks. Severe peak merging occurred.
yamap_2022-10-03_14_57.gpx,雄甲山・雌甲山,雄甲山・雌甲山,雄甲山;雌甲山,134;135,雄甲山;雌甲山,1,summit-candidate:82d3009a6c1b2511,206,古城山,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-10-08_06_12.gpx,東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山,東山・西赤石山・物住頭・前赤石山・東赤石山・八巻山,東山;前赤石山;東山;西赤石山;物住頭;東赤石山;八巻山,137;138;180;222;223;239;240,東山;前赤石山;東山;西赤石山;物住頭;東赤石山;八巻山,4,summit-candidate:5104c47f17101d63;summit-candidate:61a5956a49a7ace2;summit-candidate:e2bdd25969c7f122;summit-candidate:2b7cce23b57844a5,239,東赤石山,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (7).
yamap_2022-10-14_12_05.gpx,高戸山,高戸山;犬吠山;泰の山,高戸山;犬吠山;泰の山,140;141;142,高戸山;犬吠山;泰の山,1,summit-candidate:aadeb26cf0359691,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-10-14_13_01.gpx,犬吠山,犬吠山;高戸山;泰の山,高戸山;犬吠山;泰の山,140;141;142,高戸山;犬吠山;泰の山,1,summit-candidate:cc3fbb2358d0d4fc,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-10-14_13_42.gpx,泰の山,泰の山;高戸山;犬吠山,高戸山;犬吠山;泰の山,140;141;142,高戸山;犬吠山;泰の山,1,summit-candidate:c7de309bf838af87,202,鳥越山,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 3 peaks. Severe peak merging occurred.
yamap_2022-10-16_10_19.gpx,楢原山・古権現山・中三方ヶ森,楢原山・古権現山・中三方ヶ森,権現山;中三方ヶ森;古権現山;楢原山;権現山;権現山;権現山;権現山;権現山;権現山;権現山,14;143;144;145;159;189;198;263;465;480;494,権現山;中三方ヶ森;古権現山;楢原山;権現山;権現山;権現山;権現山;権現山;権現山;権現山,4,summit-candidate:c7ac7ff98cacc074;summit-candidate:0c2609d9e7e31a00;summit-candidate:17b2365d322cd022;summit-candidate:bcf5d9d5a90e5cda,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (11).
yamap_2022-10-19_16_00.gpx,西港山・大丸山・港山,西港山・大丸山・港山,西港山;大丸山;港山,146;147;148,西港山;大丸山;港山,3,summit-candidate:bf2b3499e08da2df;summit-candidate:a9a2a270fb6273fe;summit-candidate:5f001ac124f82ef6,,,candidate_count_matches_named_peaks,Candidate count (3) matches the number of named peaks in track/title.
yamap_2022-10-21_12_15.gpx,愛ノ山,愛ノ山;すくも山,すくも山;愛ノ山,149;150,すくも山;愛ノ山,1,summit-candidate:f676e5a22f523492,,,single_candidate_for_multi_peak_track,Only 1 candidate extracted for a track named with 2 peaks. Severe peak merging occurred.
yamap_2022-10-28_06_21.gpx,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,割石峠山;石墨山;法師山;白猪山;梅ヶ谷山;樽谷山;根無山,152;153;154;155;156;157;158,割石峠山;石墨山;法師山;白猪山;梅ヶ谷山;樽谷山;根無山,6,summit-candidate:45f2c6fc88212acd;summit-candidate:9f01494435790d72;summit-candidate:16e9de2bedeb2d1c;summit-candidate:25e47e34740282d2;summit-candidate:5cb1fa3d9dcf60f5;summit-candidate:c2fc382b492cfde4,82,陣ヶ森,candidate_count_less_than_named_peaks,Under-detection: candidate count (6) is less than named peaks (7).
yamap_2022-11-05_04_38.gpx,権現山・黒岳・エビラ山・二ッ岳,権現山・黒岳・エビラ山・二ッ岳,権現山;権現山;黒岳;エビラ山;二ッ岳;権現山;権現山;権現山;権現山;権現山;権現山,14;159;160;161;162;189;198;263;465;480;494,権現山;権現山;黒岳;エビラ山;二ッ岳;権現山;権現山;権現山;権現山;権現山;権現山,4,summit-candidate:cf97b8470d2ed1d7;summit-candidate:ffa6a88e4e680fd5;summit-candidate:09547fd48f24d064;summit-candidate:7ef7c15a52318cc9,,,candidate_count_less_than_named_peaks,Under-detection: candidate count (4) is less than named peaks (11).
yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,西山;綱繰山;獅子舞の鼻;冠山;平家平;銅山峰;西山,31;165;166;167;309;320;321,西山;綱繰山;獅子舞の鼻;冠山;平家平;銅山峰;西山,6,summit-candidate:a557f14fb032a808;summit-candidate:53d0e375c60814f6;summit-candidate:a00d481162af54e2;summit-candidate:006436491de34784;summit-candidate:c256cfef3720557f;summit-candidate:a03fbec9bab2fe7a,222;223;428;500,西赤石山;物住頭;東光森山;丸山,candidate_count_less_than_named_peaks,Under-detection: candidate count (6) is less than named peaks (7).
