mountain_no,mountain_name,category,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_match_status,top_candidate_generation_strategy,top_source_gpx_basename,top_track_name,top_candidate_lat,top_candidate_lon,top_candidate_ele_m,mountain_csv_lat,mountain_csv_lon,mountain_elevation_m,grounding_status,grounding_distance_m,grounding_municipality,candidate_municipality,municipality_compatibility,name_evidence_tier,elevation_diff_m,csv_coordinate_distance_m,activity_link_summary,needs_human_review,review_reason_codes,notes
99,鉢巻山,v3_candidate_review_required,1,summit-candidate:c4169cdcaf61f31a,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-06-18_13_12.gpx,鉢巻山,NaN,NaN,,,,142,,NaN,上島町,上島町,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
100,立石山,v3_candidate_review_required,1,summit-candidate:50aa5073a99759cf,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-06-18_14_26.gpx,立石山,NaN,NaN,,,,139,,NaN,上島町,上島町,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
104,横山(横山城址),v3_candidate_review_required,1,summit-candidate:43911aa413390192,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-06-29_08_48.gpx,横山(横山城址),NaN,NaN,,,,453,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
110,小富士,v3_candidate_review_required,1,summit-candidate:75832271d4e4d0ba,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-07-14_09_57.gpx,小富士,NaN,NaN,,,,282,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
112,子持山,v3_candidate_review_required,1,summit-candidate:93b30125fa1dcd57,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-07-21_10_02.gpx,子持山（頂上にたどり着けず）,NaN,NaN,,,,123,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
123,三山,v3_candidate_review_required,1,summit-candidate:35b464661fa62df9,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-09-15_09_20.gpx,三山,NaN,NaN,,,,325,,NaN,上島町,上島町,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
124,伊勢山,v3_candidate_review_required,1,summit-candidate:bd145a45a7d01b99,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-09-15_11_02.gpx,伊勢山,NaN,NaN,,,,57,,,,上島町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
125,久司山,v3_candidate_review_required,1,summit-candidate:507809fc1a4b9e4e,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-09-15_11_50.gpx,久司山,NaN,NaN,,,,142,,,,上島町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
129,極山,v3_candidate_review_required,1,summit-candidate:ef5127a689eaf48a,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-09-20_14_24.gpx,極山,NaN,NaN,,,,561,,NaN,西予市,西予市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
130,高文殊山,v3_candidate_review_required,1,summit-candidate:3a1a951de82d4254,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-09-21_13_09.gpx,高文殊山,NaN,NaN,,,,221,,,,四国中央市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
131,三本榎,v3_candidate_review_required,1,summit-candidate:8251283605282249,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-09-26_12_07.gpx,三本榎,NaN,NaN,,,,256,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
132,鏡山,v3_candidate_review_required,1,summit-candidate:588c967023117267,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-09-26_14_04.gpx,鏡山,NaN,NaN,,,,212,,NaN,今治市,今治市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
133,戸祇御前山,v3_candidate_review_required,1,summit-candidate:7bda9ba8d2b47d6e,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-01_08_30.gpx,戸祇御前山,NaN,NaN,,,,946,,,,鬼北町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
136,泉ガ森,v3_candidate_review_required,1,summit-candidate:ff0e7de3b62f5ed8,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-04_12_47.gpx,泉ガ森,NaN,NaN,,,,755,,NaN,鬼北町,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
139,黒崎山,v3_candidate_review_required,1,summit-candidate:541ec86327b86307,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-11_15_15.gpx,黒崎山,NaN,NaN,,,,57,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_sensitive_activity_link,
140,高戸山,v3_candidate_review_required,1,summit-candidate:aadeb26cf0359691,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-14_12_05.gpx,高戸山,NaN,NaN,,,,115,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
141,犬吠山,v3_candidate_review_required,1,summit-candidate:cc3fbb2358d0d4fc,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-14_13_01.gpx,犬吠山,NaN,NaN,,,,124,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
142,泰の山,v3_candidate_review_required,1,summit-candidate:c7de309bf838af87,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-14_13_42.gpx,泰の山,NaN,NaN,,,,115,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
150,愛ノ山,v3_candidate_review_required,1,summit-candidate:f676e5a22f523492,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-21_12_15.gpx,愛ノ山,NaN,NaN,,,,198,,NaN,西条市,西条市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
151,冨士山,v3_candidate_review_required,1,summit-candidate:9d447faef6efe2ab,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-10-27_13_37.gpx,冨士山,NaN,NaN,,,,320,,,,大洲市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
163,鹿島山,v3_candidate_review_required,1,summit-candidate:e4fbd033b13d73ce,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-11-07_12_37.gpx,鹿島山,NaN,NaN,,,,114,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
164,出石山,v3_candidate_review_required,1,summit-candidate:615a70cf4401199b,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-11-14_13_02.gpx,出石山,NaN,NaN,,,,812,,NaN,大洲市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
168,遠ヶ森,v3_candidate_review_required,1,summit-candidate:02fa4cfab6fa90d3,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-12-12_08_41.gpx,遠ヶ森,NaN,NaN,,,,728,,NaN,松山市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
173,近見山,v3_candidate_review_required,1,summit-candidate:d5b708b4d3aa86a0,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-12-25_11_41.gpx,近見山,NaN,NaN,,,,244,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
174,唐子山,v3_candidate_review_required,1,summit-candidate:71f4bbfe52f75585,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-12-25_12_44.gpx,唐子山,NaN,NaN,,,,105,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
175,医王山,v3_candidate_review_required,1,summit-candidate:1ed32ce6414c2781,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-12-25_13_36.gpx,医王山,NaN,NaN,,,,100,,NaN,西条市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
181,星岡山,v3_candidate_review_required,1,summit-candidate:5c9365b2a5a9c97f,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2022-12-31_15_00.gpx,星岡山,NaN,NaN,,,,75,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_sensitive_activity_link,
202,鳥越山,v3_candidate_review_required,1,summit-candidate:5b7c833ac0535534,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2023-01-28_11_53.gpx,鳥越山,NaN,NaN,,,,100,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
205,佐古田山,v3_candidate_review_required,1,summit-candidate:cf6802c2dafdbf46,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2023-01-28_13_44.gpx,佐古田山,NaN,NaN,,,,77,,NaN,松山市,松山市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
215,真城ヶ台,v3_candidate_review_required,1,summit-candidate:6d533e458b56f1d6,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2023-03-15_09_53.gpx,真城ヶ台,NaN,NaN,,,,587,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
216,千羽ヶ岳,v3_candidate_review_required,1,summit-candidate:afd70dd670366e77,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2023-03-20_15_17.gpx,千羽ヶ岳,NaN,NaN,,,,412,,,,西条市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_sensitive_activity_link,
229,船野山,v3_candidate_review_required,1,summit-candidate:7880c9d0de83468b,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2023-04-18_06_58.gpx,船野山,NaN,NaN,,,,412,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
257,大空山,v3_candidate_review_required,1,summit-candidate:fd13fabb918486e6,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-01-27_08_01.gpx,大空山,NaN,NaN,,,,352,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
258,御串山,v3_candidate_review_required,1,summit-candidate:02d59cd1260af017,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-01-27_10_11.gpx,御串山,NaN,NaN,,,,66,,NaN,今治市,今治市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
259,宝股山,v3_candidate_review_required,1,summit-candidate:468c5bbccd8aba53,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-01-27_13_31.gpx,宝股山,NaN,NaN,,,,304,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
261,鳥屋ヶ森,v3_candidate_review_required,1,summit-candidate:ef6730fa259856ec,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-02-10_07_09.gpx,鳥屋ヶ森,NaN,NaN,,,,322,,,,宇和島市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
262,熊ガ峰,v3_candidate_review_required,1,summit-candidate:ef3e845b5d632dd3,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-02-10_09_58.gpx,熊ガ峰,NaN,NaN,,,,343,,,,宇和島市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
271,白石山,v3_candidate_review_required,1,summit-candidate:ac8e3853fbbf0c6f,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-03-03_06_23.gpx,白石山,NaN,NaN,,,,648,,,,愛南町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
272,観音岳,v3_candidate_review_required,1,summit-candidate:a53cc9868b7f2f70,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-03-03_08_44.gpx,観音岳,NaN,NaN,,,,782,,,,愛南町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
273,音無山,v3_candidate_review_required,1,summit-candidate:97e45d6eab227d56,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-03-03_10_00.gpx,音無山,NaN,NaN,,,,850,,,,宇和島市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
274,天ガ森,v3_candidate_review_required,1,summit-candidate:93a4d66ef3ee559d,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-03-03_13_33.gpx,天ガ森,NaN,NaN,,,,331,,,,宇和島市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
284,斎藤山,v3_candidate_review_required,1,summit-candidate:3c28b6ebd5a97155,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-03-16_13_58.gpx,斎藤山,NaN,NaN,,,,459,,NaN,大洲市,大洲市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
296,桂ヶ森,v3_candidate_review_required,1,summit-candidate:c210f415fc55501f,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-04-27_08_04.gpx,桂ヶ森,NaN,NaN,,,,1224,,,,久万高原町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
300,面河山,v3_candidate_review_required,1,summit-candidate:22e40e9eb117a033,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-05-03_08_45.gpx,面河山,NaN,NaN,,,,1521,,,,久万高原町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
303,名石山,v3_candidate_review_required,1,summit-candidate:ea919bf883e31a7b,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-05-15_11_16.gpx,名石山,NaN,NaN,,,,297,,NaN,松山市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
310,薬師山,v3_candidate_review_required,1,summit-candidate:167756a8b787a168,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-06-16_07_27.gpx,薬師山,NaN,NaN,,,,435,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
314,宅並山,v3_candidate_review_required,1,summit-candidate:f1ee81f4d467a28e,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-07-08_11_33.gpx,宅並山,NaN,NaN,,,,200,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
315,岩屋山,v3_candidate_review_required,1,summit-candidate:c9156b7eea77a1b0,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-07-28_15_53.gpx,岩屋山,NaN,NaN,,,,786,,,,久万高原町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_sensitive_activity_link,
329,ハネズル山,v3_candidate_review_required,1,summit-candidate:e2c08955f9275289,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-10-20_06_42.gpx,ハネズル山,NaN,NaN,,,,1299,,NaN,四国中央市,四国中央市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
330,天堤山,v3_candidate_review_required,1,summit-candidate:f54f44da226a4a15,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-10-20_11_05.gpx,天堤山,NaN,NaN,,,,1147,,,,四国中央市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
352,笹ヶ平山,v3_candidate_review_required,1,summit-candidate:4416099ca0f9da08,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2024-12-22_10_25.gpx,笹ヶ平山,NaN,NaN,,,,261,,NaN,砥部町,砥部町,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
366,弥八山,v3_candidate_review_required,1,summit-candidate:0cc40babcd0ce6bf,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-01-30_06_55.gpx,弥八山,NaN,NaN,,,,263,,,,四国中央市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
367,西の山,v3_candidate_review_required,1,summit-candidate:a14a745323a3d3af,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-01-30_08_48.gpx,西の山,NaN,NaN,,,,244,,NaN,四国中央市,四国中央市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
368,北山,v3_candidate_review_required,1,summit-candidate:8cef52d6989a94db,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-01-30_10_12.gpx,北山,NaN,NaN,,,,241,,NaN,四国中央市,四国中央市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
370,金子山,v3_candidate_review_required,1,summit-candidate:3c1e55e6cc05c0ad,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-01-30_13_18.gpx,金子山,NaN,NaN,,,,146,,,,新居浜市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
371,八堂山,v3_candidate_review_required,1,summit-candidate:bf9808bbf86d5d73,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-01-30_14_42.gpx,八堂山,NaN,NaN,,,,193,,,,西条市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
374,念仏山,v3_candidate_review_required,1,summit-candidate:110345ef4fb31191,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-09_08_01.gpx,念仏山,NaN,NaN,,,,381,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
375,大頭山,v3_candidate_review_required,1,summit-candidate:afc2e407c1d6b464,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-09_09_27.gpx,大頭山,NaN,NaN,,,,264,,NaN,今治市,今治市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
376,高取山,v3_candidate_review_required,1,summit-candidate:86e4db352b85ced4,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-09_11_27.gpx,高取山,NaN,NaN,,,,252,,NaN,今治市,今治市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
377,八幡山,v3_candidate_review_required,1,summit-candidate:b9ae103da9e3136b,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-09_12_21.gpx,八幡山,NaN,NaN,,,,212,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
378,要害山,v3_candidate_review_required,1,summit-candidate:0005c0040c7c7966,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-11_08_43.gpx,要害山,NaN,NaN,,,,107,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
379,高穴山,v3_candidate_review_required,1,summit-candidate:a0b87feaf88e526d,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-11_09_46.gpx,高穴山,NaN,NaN,,,,292,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
380,高仙山,v3_candidate_review_required,1,summit-candidate:3807e62715de33f9,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-11_13_28.gpx,高仙山,NaN,NaN,,,,248,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
381,霊仙山,v3_candidate_review_required,1,summit-candidate:47b61397fb9c5d3f,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-24_10_12.gpx,霊仙山,NaN,NaN,,,,156,,NaN,今治市,今治市,compatible,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
386,幻城下城,v3_candidate_review_required,1,summit-candidate:2129bbc9c3950a91,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-02-28_10_24.gpx,幻城下城,NaN,NaN,,,,245,,,,西条市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
387,階上山,v3_candidate_review_required,1,summit-candidate:276fed5ecb7b3eb4,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-03-02_13_17.gpx,階上山,NaN,NaN,,,,898,,,,伊予市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
388,姫政山,v3_candidate_review_required,1,summit-candidate:d456af62868c5044,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-03-10_08_18.gpx,姫政山,NaN,NaN,,,,277,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
389,館山,v3_candidate_review_required,1,summit-candidate:6b836f5beefdd52c,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-03-10_10_25.gpx,館山,NaN,NaN,,,,230,,,,今治市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
391,大登山,v3_candidate_review_required,1,summit-candidate:230b9847a05c8052,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-03-17_14_08.gpx,大登山,NaN,NaN,,,,364,,,,内子町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
397,竜王山,v3_candidate_review_required,1,summit-candidate:62d2811f5d1a9f29,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-03-30_07_01.gpx,竜王山,NaN,NaN,,,,460,,NaN,西予市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
399,一ヶ森,v3_candidate_review_required,1,summit-candidate:5f3f2f47d84464c4,0.55,low,v3_candidate_review_required,fallback_name_only_review,yamap_2025-03-30_09_12.gpx,一ヶ森,NaN,NaN,,,,597,,NaN,大洲市,西予市,compatible,strong,,,,true,municipality_mismatch;missing_csv_coordinate;timezone_ambiguity,
404,コクゾ峰,v3_candidate_review_required,1,summit-candidate:94e39d837730a5c7,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-04-04_06_19.gpx,コクゾ峰,NaN,NaN,,,,824,,,,砥部町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
408,笠成山,v3_candidate_review_required,1,summit-candidate:81081ef1b6e58a79,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-04-14_05_56.gpx,笠成山,NaN,NaN,,,,713,,,,砥部町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
416,谷崎山,v3_candidate_review_required,1,summit-candidate:0d157ed871f76807,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-07-06_07_10.gpx,谷崎山,NaN,NaN,,,,1203,,,,西条市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
418,伊吹山,v3_candidate_review_required,1,summit-candidate:e79e77da4bfd1f13,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-07-06_12_03.gpx,伊吹山,NaN,NaN,,,,1503,,NaN,西条市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
420,正木ノ森,v3_candidate_review_required,1,summit-candidate:1c085703f9a891aa,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-08-15_12_44.gpx,正木ノ森,NaN,NaN,,,,1365,,,,久万高原町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
421,五段城,v3_candidate_review_required,1,summit-candidate:00dfcd8bd36a1f00,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-08-15_11_47.gpx,五段城,NaN,NaN,,,,1455,,,,久万高原町,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity,
422,天狗ノ森,v3_candidate_review_required,1,summit-candidate:54dc6f5d29d60052,0.65,medium,v3_candidate_review_required,fallback_name_municipality,yamap_2025-08-15_09_21.gpx,天狗ノ森 ,NaN,NaN,,,,1485,,NaN,久万高原町,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity,
