mountain_no,mountain_name,supplemental_candidate_id,source_gpx_basename,nearest_trackpoint_lat,nearest_trackpoint_lon,nearest_trackpoint_ele_m,nearest_trackpoint_time,distance_gemini_to_trackpoint_m,existing_nearest_summit_candidate_id,distance_to_existing_nearest_candidate_m,local_peak_like_score,needs_human_review,review_reason_codes,candidate_generation_reason_codes,notes
288,串ヶ森,supplemental-candidate:4e1a08d30dc22860,yamap_2022-04-08_09_33.gpx,33.1954608,132.6081314,1023.9820881625614,2022-04-08T04:55:11Z,38.659,summit-candidate:40068653b28bad40,520.728,0.7203,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 38.7m).
295,五代ヶ森,supplemental-candidate:ad84be6b2d600956,yamap_2023-09-06_13_30.gpx,33.7248306,133.1116831,1088.5533333333333,2023-09-06T06:49:23Z,223.167,summit-candidate:b73a23fa4b3abc39,525.796,0.1256,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 223.2m).
311,子持権現山,supplemental-candidate:145adf9ebf9c7a64,yamap_2022-07-10_07_25.gpx,33.7891932,133.2118692,1630.2413813114144,2022-07-10T01:26:26Z,287.609,summit-candidate:f09a1f754bcb761e,778.573,0.3667,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 287.6m).
341,秋葉山,supplemental-candidate:96a632e75f0ac404,yamap_2026-01-11_07_50.gpx,33.6552105,132.690349,677.0666666666667,2026-01-11T00:16:22Z,118.563,summit-candidate:61304308f9a58d0d,120.702,0.3949,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;shared_candidate_refinement_context;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 118.6m).
375,大頭山,supplemental-candidate:5ef4bb46b1e9c671,yamap_2025-03-10_08_18.gpx,34.1278067,133.0464065,237.42666666666665,2025-03-10T00:37:04Z,99.306,summit-candidate:d456af62868c5044,148.659,0.624,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 99.3m).
392,高山,supplemental-candidate:9ac98009abe6946a,yamap_2025-03-20_08_27.gpx,33.9771054,132.6143148,101.79,2025-03-20T05:33:02Z,167.838,summit-candidate:c9aa57cdeb1b49fa,40.547,0.7018,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 167.8m).
415,貝渚山,supplemental-candidate:b8634df4486e1f9c,yamap_2025-08-15_11_47.gpx,33.4723432,132.9821756,1413,2025-08-15T03:18:05Z,75.313,summit-candidate:00dfcd8bd36a1f00,380.881,0.5545,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 75.3m).
422,天狗ノ森,supplemental-candidate:c1d2929a69a33301,yamap_2025-08-15_09_21.gpx,33.4793761,133.0117937,1450.756666666667,2025-08-15T00:41:35Z,93.892,summit-candidate:54dc6f5d29d60052,342.194,0,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 93.9m).
428,東光森山,supplemental-candidate:448718f146c6fedd,yamap_2022-11-26_04_41.gpx,33.8174026,133.3299907,1597.6933333333334,2022-11-26T02:32:43Z,225.321,summit-candidate:c256cfef3720557f,476.106,0.3601,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 225.3m).
439,天満山,supplemental-candidate:2b8f00b1481e568c,yamap_2025-09-27_06_52.gpx,33.8334884,133.3992308,1106.3600000000001,2025-09-26T21:52:58Z,152.009,summit-candidate:4b66146264e5e167,538.873,0,true,supplemental_unverified,gemini_anchor_search;raw_gpx_nearest_trackpoint;candidate_extraction_gap;name_missing_refinement_context,Supplemental candidate generated at nearest raw GPX trackpoint to Gemini grounding coordinate (distance: 152.0m).
