mountain_no,mountain_name,review_category,proposed_candidate_id,proposed_candidate_type,canonical_summit_candidate_id,supplemental_candidate_id,supplemental_duplicate_of_canonical_candidate_id,distance_supplemental_to_canonical_m,proposed_lat,proposed_lon,proposed_ele_m,source_gpx_basename,distance_gemini_to_proposed_m,distance_csv_to_proposed_m,elevation_diff_csv_to_proposed_m,confidence,needs_human_review,review_reason_codes,notes
217,皿ヶ嶺,supplemental_fallback_review_required,supplemental-candidate:5fbcb8d550bfe679,supplemental_gemini_near_gpx_point,,supplemental-candidate:5fbcb8d550bfe679,,753.885,33.7224589,132.894524,1157.2994244113324,yamap_2022-04-15_11_52.gpx,20.2,,120.7,0.99,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
223,物住頭,supplemental_fallback_review_required,supplemental-candidate:58e23f6cca1cff32,supplemental_gemini_near_gpx_point,,supplemental-candidate:58e23f6cca1cff32,,238.044,33.8519092,133.3213285,1392.67,yamap_2022-11-26_04_41.gpx,6.8,,242.3,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
233,天狗岳,supplemental_fallback_review_required,supplemental-candidate:dc587af2e0106710,supplemental_gemini_near_gpx_point,,supplemental-candidate:dc587af2e0106710,,115.696,33.750932,133.1127594,1488.5266666666666,yamap_2024-05-03_08_45.gpx,295.7,,493.5,0.99,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
234,石鎚山,supplemental_fallback_review_required,supplemental-candidate:740e3fed01561c34,supplemental_gemini_near_gpx_point,,supplemental-candidate:740e3fed01561c34,,45.632,33.7512778,133.1120888,1501.4666666666665,yamap_2024-05-03_08_45.gpx,97.7,,470.5,0.99,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
266,郭公岳,supplemental_fallback_review_required,supplemental-candidate:df97930b130dcf66,supplemental_gemini_near_gpx_point,,supplemental-candidate:df97930b130dcf66,,237.612,33.1823672,132.6216458,1096.4993862966533,yamap_2022-04-08_09_33.gpx,121.3,,-86.5,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
267,東高月山,supplemental_fallback_review_required,supplemental-candidate:1f771f710ee44dda,supplemental_gemini_near_gpx_point,,supplemental-candidate:1f771f710ee44dda,,639.562,33.1718706,132.6469429,1150.1499999999999,yamap_2024-03-30_07_11.gpx,53.6,,30.9,0.96,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
279,城山,supplemental_fallback_review_required,supplemental-candidate:fabdccc87e0a86da,supplemental_gemini_near_gpx_point,,supplemental-candidate:fabdccc87e0a86da,,304.691,33.8420447,132.7648799,20.900757037468935,yamap_2022-06-04_14_13.gpx,96,,223.1,0.99,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
287,小屋ヶ森,supplemental_fallback_review_required,supplemental-candidate:4e63ff270220efc1,supplemental_gemini_near_gpx_point,,supplemental-candidate:4e63ff270220efc1,,395.549,33.1830013,132.6231666,1092.240348785512,yamap_2022-04-08_09_33.gpx,182.9,,91.8,0.96,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
288,串ヶ森,supplemental_fallback_review_required,supplemental-candidate:4e1a08d30dc22860,supplemental_gemini_near_gpx_point,,supplemental-candidate:4e1a08d30dc22860,,520.728,33.1954608,132.6081314,1023.9820881625614,yamap_2022-04-08_09_33.gpx,38.7,,136,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
295,五代ヶ森,supplemental_fallback_review_required,supplemental-candidate:ad84be6b2d600956,supplemental_gemini_near_gpx_point,,supplemental-candidate:ad84be6b2d600956,,525.796,33.7248306,133.1116831,1088.5533333333333,yamap_2023-09-06_13_30.gpx,223.2,,622.4,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
311,子持権現山,supplemental_fallback_review_required,supplemental-candidate:145adf9ebf9c7a64,supplemental_gemini_near_gpx_point,,supplemental-candidate:145adf9ebf9c7a64,,778.573,33.7891932,133.2118692,1630.2413813114144,yamap_2022-07-10_07_25.gpx,287.6,,42.8,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
341,秋葉山,supplemental_fallback_review_required,supplemental-candidate:96a632e75f0ac404,supplemental_gemini_near_gpx_point,,supplemental-candidate:96a632e75f0ac404,,120.702,33.6552105,132.690349,677.0666666666667,yamap_2026-01-11_07_50.gpx,118.6,,-46.1,0.94,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
375,大頭山,supplemental_fallback_review_required,supplemental-candidate:5ef4bb46b1e9c671,supplemental_gemini_near_gpx_point,,supplemental-candidate:5ef4bb46b1e9c671,,148.659,34.1278067,133.0464065,237.42666666666665,yamap_2025-03-10_08_18.gpx,99.3,,26.6,0.97,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
392,高山,supplemental_fallback_review_required,supplemental-candidate:9ac98009abe6946a,supplemental_gemini_near_gpx_point,,supplemental-candidate:9ac98009abe6946a,,40.547,33.9771054,132.6143148,101.79,yamap_2025-03-20_08_27.gpx,167.8,,47.2,0.96,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
415,貝渚山,supplemental_fallback_review_required,supplemental-candidate:b8634df4486e1f9c,supplemental_gemini_near_gpx_point,,supplemental-candidate:b8634df4486e1f9c,,380.881,33.4723432,132.9821756,1413,yamap_2025-08-15_11_47.gpx,75.3,,9,0.95,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
422,天狗ノ森,supplemental_fallback_review_required,supplemental-candidate:c1d2929a69a33301,supplemental_gemini_near_gpx_point,,supplemental-candidate:c1d2929a69a33301,,342.194,33.4793761,133.0117937,1450.756666666667,yamap_2025-08-15_09_21.gpx,93.9,,34.2,0.98,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
428,東光森山,supplemental_fallback_review_required,supplemental-candidate:448718f146c6fedd,supplemental_gemini_near_gpx_point,,supplemental-candidate:448718f146c6fedd,,476.106,33.8174026,133.3299907,1597.6933333333334,yamap_2022-11-26_04_41.gpx,225.3,,-111.7,0.97,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
439,天満山,supplemental_fallback_review_required,supplemental-candidate:2b8f00b1481e568c,supplemental_gemini_near_gpx_point,,supplemental-candidate:2b8f00b1481e568c,,538.873,33.8334884,133.3992308,1106.3600000000001,yamap_2025-09-27_06_52.gpx,152,,253.6,0.94,true,supplemental_unverified,Proposing non-canonical supplemental candidate as fallback coordinate source.
