mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
4,岩伽羅山,summit-candidate:a94564816fd4afff,yamap_2022-03-25_12_12.gpx,十門山(十門城址)・ヨソ山,676.7066666666667,696,19.29,0.439,3,3,0.1285,false,true,low,medium,low,low_priority,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=岩伽羅山(#4); candidate=summit-candidate:a94564816fd4afff; ref_score=0.439; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
5,衣掛山,summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),306.31,463,156.69,0.6345,1,4,0,false,false,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"志津川南一丁目, 志津川, 東温市, 愛媛県, 791-0204, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=衣掛山(#5); candidate=summit-candidate:d03c84134ca0989d; ref_score=0.6345; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
5,衣掛山,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,463,256.25,0.6345,2,3,0.1955,false,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"樋口, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=衣掛山(#5); candidate=summit-candidate:e7ae682a07af2e10; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
5,衣掛山,summit-candidate:7880c9d0de83468b,yamap_2023-04-18_06_58.gpx,船野山,452.99666666666667,463,10,0.439,3,4,0.1285,false,false,low,medium,low,low_priority,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,mountain=衣掛山(#5); candidate=summit-candidate:7880c9d0de83468b; ref_score=0.439; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
6,吉山(吉山城址),summit-candidate:d03c84134ca0989d,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),306.31,262,44.31,0.6855,1,1,0.051,true,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"志津川南一丁目, 志津川, 東温市, 愛媛県, 791-0204, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=吉山(吉山城址)(#6); candidate=summit-candidate:d03c84134ca0989d; ref_score=0.6855; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
6,吉山(吉山城址),summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,262,457.25,0.6345,2,4,0.324,false,false,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"樋口, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=吉山(吉山城址)(#6); candidate=summit-candidate:e7ae682a07af2e10; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
6,吉山(吉山城址),summit-candidate:0022a746b396d4c7,yamap_2024-03-10_07_12.gpx,夫婦山・白山・観音山・国見山・城山・御勧請山,264.2867991594412,262,2.29,0.3105,3,17,0,false,false,low,high,high,check_location_warning,boundary_tolerated_mismatch,東温市,,,"白水台三丁目, 松山市, 愛媛県, 791-0112, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,strong_evidence_with_mismatch,location_mismatch_warning,mountain=吉山(吉山城址)(#6); candidate=summit-candidate:0022a746b396d4c7; ref_score=0.3105; ref_rank=3; loc_level=boundary_tolerated_mismatch; priority=high; priority_reasons=strong_evidence_with_mismatch
7,尾ノ峰,summit-candidate:36e3ac8003e8b5d0,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,190.94333333333336,193,2.06,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"大浦, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=尾ノ峰(#7); candidate=summit-candidate:36e3ac8003e8b5d0; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
7,尾ノ峰,summit-candidate:d6b806525709cc22,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,206.86333333333332,193,13.86,0.7365,2,2,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=尾ノ峰(#7); candidate=summit-candidate:d6b806525709cc22; ref_score=0.7365; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
7,尾ノ峰,summit-candidate:ac7a1ebef52ea30c,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,156.4466666666667,193,36.55,0.6855,3,2,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2499, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=尾ノ峰(#7); candidate=summit-candidate:ac7a1ebef52ea30c; ref_score=0.6855; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
8,新城山,summit-candidate:ac7a1ebef52ea30c,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,156.4466666666667,161,4.55,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2499, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=新城山(#8); candidate=summit-candidate:ac7a1ebef52ea30c; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
8,新城山,summit-candidate:36e3ac8003e8b5d0,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,190.94333333333336,161,29.94,0.7365,2,2,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"大浦, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=新城山(#8); candidate=summit-candidate:36e3ac8003e8b5d0; ref_score=0.7365; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
8,新城山,summit-candidate:d6b806525709cc22,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,206.86333333333332,161,45.86,0.6855,3,3,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=新城山(#8); candidate=summit-candidate:d6b806525709cc22; ref_score=0.6855; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
9,腰折山,summit-candidate:d6b806525709cc22,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,206.86333333333332,213,6.14,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=腰折山(#9); candidate=summit-candidate:d6b806525709cc22; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
9,腰折山,summit-candidate:36e3ac8003e8b5d0,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,190.94333333333336,213,22.06,0.7365,2,3,0.102,false,true,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"大浦, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=腰折山(#9); candidate=summit-candidate:36e3ac8003e8b5d0; ref_score=0.7365; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
9,腰折山,summit-candidate:40260be41579ab8f,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,299.12666666666667,213,86.13,0.6345,3,4,0,false,false,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"浅海原, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=腰折山(#9); candidate=summit-candidate:40260be41579ab8f; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
10,恵良山,summit-candidate:40260be41579ab8f,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,299.12666666666667,302,2.87,0.7875,1,1,0.153,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,松山市,,松山市,"浅海原, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=恵良山(#10); candidate=summit-candidate:40260be41579ab8f; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
10,恵良山,summit-candidate:36e3ac8003e8b5d0,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,190.94333333333336,302,111.06,0.6345,2,4,0,false,false,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"大浦, 松山市, 愛媛県, 799-2401, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=恵良山(#10); candidate=summit-candidate:36e3ac8003e8b5d0; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
10,恵良山,summit-candidate:ac7a1ebef52ea30c,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,156.4466666666667,302,145.55,0.6345,3,4,0,false,false,medium,medium,low,low_priority,exact_municipality_match,松山市,,松山市,"下難波, 松山市, 愛媛県, 799-2499, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=恵良山(#10); candidate=summit-candidate:ac7a1ebef52ea30c; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
11,皿ヶ森,summit-candidate:59c561a08189d6b9,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,630.2399999999999,633,2.76,0.7875,1,1,0.153,true,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"松瀬川, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate,"mountain=皿ヶ森(#11); candidate=summit-candidate:59c561a08189d6b9; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
11,皿ヶ森,summit-candidate:7c532ef1be71a4d1,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,924.7866666666665,633,291.79,0.6345,2,1,0.1445,false,true,medium,medium,low,low_priority,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=皿ヶ森(#11); candidate=summit-candidate:7c532ef1be71a4d1; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
11,皿ヶ森,summit-candidate:8e8035372e25eb9d,yamap_2022-04-16_07_39.gpx,東三方ヶ森,628.7666666666668,633,4.23,0.49,3,2,0.051,false,true,low,medium,low,low_priority,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=皿ヶ森(#11); candidate=summit-candidate:8e8035372e25eb9d; ref_score=0.49; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
12,経座ヶ森,summit-candidate:59c561a08189d6b9,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,630.2399999999999,735,104.76,0.6345,1,2,0,false,true,medium,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"松瀬川, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=経座ヶ森(#12); candidate=summit-candidate:59c561a08189d6b9; ref_score=0.6345; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous,top_candidate_for_multiple_mountains"
12,経座ヶ森,summit-candidate:7c532ef1be71a4d1,yamap_2022-01-29_08_35.gpx,皿ヶ森・経座ヶ森・ヨソ山,924.7866666666665,735,189.79,0.6345,2,2,0.1955,false,true,medium,medium,high,check_close_alternatives,exact_municipality_match,東温市,,東温市,"東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,small_score_gap,mountain=経座ヶ森(#12); candidate=summit-candidate:7c532ef1be71a4d1; ref_score=0.6345; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
12,経座ヶ森,summit-candidate:e7ae682a07af2e10,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),719.2533333333334,735,15.75,0.439,3,9,0.1285,false,false,low,high,high,resolve_conflict,exact_municipality_match,東温市,,東温市,"樋口, 東温市, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,mountain=経座ヶ森(#12); candidate=summit-candidate:e7ae682a07af2e10; ref_score=0.439; ref_rank=3; loc_level=exact_municipality_match; priority=high; priority_reasons=top_candidate_for_multiple_mountains
13,谷上山,summit-candidate:0eff3d1ea2b48d73,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,456.90483803547824,455,1.9,0.7875,1,1,0.102,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,伊予市,,伊予市,"伊予市, 愛媛県, 799-3193, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=谷上山(#13); candidate=summit-candidate:0eff3d1ea2b48d73; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
13,谷上山,summit-candidate:2c817617699a0a45,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,485.20803085647475,455,30.21,0.6855,2,3,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,伊予市,,伊予市,"大平砥部線, 鵜崎, 伊予市, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=谷上山(#13); candidate=summit-candidate:2c817617699a0a45; ref_score=0.6855; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
13,谷上山,summit-candidate:c94d8d76133fda1a,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,383.6048516063258,455,71.4,0.6345,3,1,0,false,true,medium,medium,low,low_priority,exact_municipality_match,伊予市,,伊予市,"大角蔵, 砥部町, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=谷上山(#13); candidate=summit-candidate:c94d8d76133fda1a; ref_score=0.6345; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
14,権現山,summit-candidate:2c817617699a0a45,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,485.20803085647475,479,6.21,0.7875,1,1,0.051,true,true,medium,high,medium,accept_candidate_after_map_check,exact_municipality_match,伊予市,,伊予市,"大平砥部線, 鵜崎, 伊予市, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_1_but_ambiguous,clear_mutual_top1,mountain=権現山(#14); candidate=summit-candidate:2c817617699a0a45; ref_score=0.7875; ref_rank=1; loc_level=exact_municipality_match; priority=high; priority_reasons=top_1_but_ambiguous
14,権現山,summit-candidate:0eff3d1ea2b48d73,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,456.90483803547824,479,22.1,0.7365,2,2,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,伊予市,,伊予市,"伊予市, 愛媛県, 799-3193, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=権現山(#14); candidate=summit-candidate:0eff3d1ea2b48d73; ref_score=0.7365; ref_rank=2; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
14,権現山,summit-candidate:ea5f711625df386b,yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,510.2597700981308,479,31.26,0.6855,3,2,0.051,false,true,medium,medium,low,low_priority,exact_municipality_match,伊予市,,伊予市,"大平砥部線, 鵜崎, 伊予市, 伊予郡, 愛媛県, 日本",multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate,top_3_with_evidence,low_priority_alternative,mountain=権現山(#14); candidate=summit-candidate:ea5f711625df386b; ref_score=0.6855; ref_rank=3; loc_level=exact_municipality_match; priority=medium; priority_reasons=top_3_with_evidence
