mountain_no,mountain_name,selected_grounding_lat,selected_grounding_lon,source_gpx_basename,gpx_file_exists,has_matching_activity_link
290,長尾森,33.1875,132.619444,yamap_2022-04-08_09_33.gpx,true,true
291,二箆山,,,,false,false
292,西雑誌山,,,,false,false
293,気多山,,,,false,false
294,八辻ノ峰,33.741111,133.107222,,false,false
295,五代ヶ森,33.723056,133.110556,yamap_2023-09-06_13_30.gpx,true,true
296,桂ヶ森,,,,false,false
297,狼ヶ城山,33.606111,132.955278,,false,false
298,日浦嶺,33.680278,132.842778,,false,false
299,打越山,33.685278,132.825278,,false,false
300,面河山,,,,false,false
301,丸笹山,,,,false,false
302,丸滝山,,,,false,false
303,名石山,33.916389,132.831389,,false,false
304,青刈山,34.254167,133.023889,,false,false
305,椿山,,,,false,false
306,黒森山,33.784444,133.096389,,false,false
307,沓掛山,33.778889,133.203333,,false,false
308,二反山,,,,false,false
309,平家平,33.811111,133.411111,,false,false
310,薬師山,,,,false,false
311,子持権現山,33.791667,133.212778,yamap_2022-07-10_07_25.gpx,true,false
312,男山,33.805556,133.193889,,false,false
313,瓶ヶ森,33.805556,133.197222,,false,false
314,宅並山,,,,false,false
315,岩屋山,,,,false,false
316,高縄山,33.942778,132.868611,,false,false
317,伊予富士,,,,false,false
318,中津山(明神山),,,,false,false
319,猿越山,33.605,132.964167,,false,false
320,銅山峰,33.864722,133.284444,,false,false
321,西山,33.861111,133.297222,,false,false
322,三の森,33.811389,133.189444,,false,false
323,二の森,33.814444,133.181389,yamap_2023-10-22_06_44.gpx,true,true
324,一の森,,,,false,false
325,三ッ足山,33.914444,133.606944,,false,false
326,カガマシ山,33.911111,133.593611,,false,false
327,橡尾山,33.905556,133.584167,,false,false
328,笹ヶ峰,,,,false,false
329,ハネズル山,33.824722,133.568333,,false,false
330,天堤山,,,,false,false
331,五郎丸,33.916944,133.585278,,false,false
332,高丸,33.918611,133.578333,,false,false
333,金見山,33.915278,133.584722,,false,false
334,木峰,33.910278,133.576111,,false,false
335,天狗森,33.908889,133.571944,,false,false
336,唐谷山,33.905556,133.566389,,false,false
337,龍王山,33.901111,133.561944,,false,false
338,大谷山,33.903611,133.575278,,false,false
339,城山,34.020833,133.573889,,false,false
340,本尊山,33.718889,132.693333,,false,false
341,秋葉山,33.655833,132.691389,yamap_2026-01-11_07_50.gpx,true,true
342,立烏帽子山,,,,false,false
343,明神山,33.651111,132.6875,yamap_2026-01-11_07_50.gpx,true,true
344,陣が森,33.743056,132.784722,,false,false
345,岩が森,33.7475,132.791389,,false,false
346,スクモ塚,,,,false,false
347,高萩山,33.753889,132.776389,,false,false
348,長者森,,,,false,false
349,八倉山,33.758056,132.793889,,false,false
350,行道山,33.754722,132.760278,yamap_2024-12-22_06_34.gpx,true,true
351,水晶ヶ森,33.743889,132.766111,,false,false
352,笹ヶ平山,33.764722,132.805833,,false,false
353,壺神山,33.585556,132.553889,,false,false
354,滝山,,,,false,false
355,足山,33.606944,132.579444,,false,false
356,皿が森,,,,false,false
357,尉之山,33.876944,132.834167,yamap_2022-03-03_10_47.gpx,true,true
358,小山岳,33.878889,132.844167,,false,false
359,勝山,33.882778,132.841389,,false,false
360,松葉山（松葉城址）,,,,false,false
361,烏殿,,,,false,false
362,御篠山,,,,false,false
363,天が森,33.483611,132.441944,,false,false
364,浄心山,33.528889,132.421111,,false,false
365,銅が鳴,33.535,132.429444,,false,false
366,弥八山,,,,false,false
367,西の山,33.9575,133.431389,,false,false
368,北山,33.951111,133.423611,,false,false
369,垣生山,,,,false,false
370,金子山,,,,false,false
371,八堂山,,,,false,false
372,亀老山,34.119444,133.029444,,false,false
373,カレイ山,,,,false,false
374,念仏山,,,,false,false
375,大頭山,34.127222,133.047222,yamap_2025-03-10_08_18.gpx,true,true
376,高取山,34.135278,133.056389,yamap_2025-02-09_12_21.gpx,true,true
377,八幡山,,,,false,false
378,要害山,,,,false,false
379,高穴山,,,,false,false
380,高仙山,,,,false,false
381,霊仙山,34.020556,132.997222,,false,false
382,若いもん山,34.016667,133.003333,,false,false
383,無宗天山,,,,false,false
384,綱付山,,,,false,false
385,幻城上城,,,,false,false
386,幻城下城,,,,false,false
387,階上山,,,,false,false
388,姫政山,,,,false,false
389,館山,,,,false,false
390,高森山,,,,false,false
391,大登山,,,,false,false
392,高山,33.978611,132.614444,yamap_2025-03-20_08_27.gpx,true,true
393,泰ノ山,,,,false,false
394,大里山,33.9575,132.623611,,false,false
395,北ヶ森,33.725833,132.813889,,false,false
396,高土の峰,33.714444,132.815556,yamap_2022-12-12_08_41.gpx,true,true
397,竜王山,33.376944,132.531389,,false,false
398,岳山,33.535833,132.610556,,false,false
399,一ヶ森,33.528333,132.611389,,false,false
400,愛の森,33.506667,132.593611,,false,false
401,京の森,33.532778,132.631667,,false,false
402,大迫山,33.543333,132.628889,,false,false
403,船山,33.666944,132.813611,,false,false
404,コクゾ峰,,,,false,false
405,加塚山,,,,false,false
406,新谷神南山,,,,false,false
407,五十崎神南山,33.541389,132.585556,,false,false
408,笠成山,,,,false,false
409,小屋山,33.376111,132.730278,,false,false
410,丸石山,33.385556,132.731389,,false,false
411,野地峰,33.840278,133.585556,,false,false
412,黒岩山,33.829167,133.593333,,false,false
413,大野山,33.825556,133.606389,,false,false
414,水なし山,33.474444,132.964444,,false,false
415,貝渚山,33.471667,132.982222,yamap_2025-08-15_11_47.gpx,true,true
416,谷崎山,,,,false,false
417,東黒森,33.791111,133.235833,yamap_2025-07-06_09_43.gpx,true,true
418,伊吹山,33.773889,133.155556,,false,false
419,小牛城,33.391389,132.711111,,false,false
420,正木ノ森,,,,false,false
421,五段城,,,,false,false
422,天狗ノ森,33.478611,133.012222,yamap_2025-08-15_09_21.gpx,true,true
423,鶴ノ子ノ頭,33.714444,133.102222,,false,false
424,千秋寺山,33.864722,132.778889,yamap_2026-03-11_10_35.gpx,true,true
425,黒川山,,,,false,false
426,前社ヶ森,33.766389,133.151111,,false,false
427,剣山,33.763611,133.140556,yamap_2025-09-07_08_00.gpx,true,true
428,東光森山,33.818889,133.328333,yamap_2022-11-26_04_41.gpx,true,true
429,別子山,33.834167,133.375278,yamap_2025-10-05_08_42.gpx,true,true
430,三ッ森山,,,,false,false
431,大座礼山,33.829444,133.435278,yamap_2025-09-27_06_52.gpx,true,true
432,三つ足山,33.819444,133.580556,,false,false
433,大森山,33.821111,133.626389,,false,false
434,佐々連尾山,33.823611,133.642778,,false,false
435,東ノ冠岳,33.751389,133.116667,yamap_2024-05-03_08_45.gpx,true,true
436,大峰,,,,false,false
437,堂堂山,,,,false,false
438,堂所山,,,,false,false
439,天満山,33.832222,133.398611,yamap_2025-09-27_06_52.gpx,true,true
440,霧立山,,,,false,false
441,地蔵山,,,,false,false
442,天道ヶ頭,,,,false,false
443,根太山,,,,false,false
444,紅葉山,33.518611,132.561111,,false,false
445,梁瀬山,33.513889,132.564722,yamap_2022-10-27_13_37.gpx,true,true
446,池ノ城山,33.528333,132.684167,,false,false
447,峠ヶ森,,,,false,false
448,雨森山,,,,false,false
449,御在所山,33.501389,132.511111,,false,false
450,高雄山,33.353611,132.423611,,false,false
451,陣が森岳,,,,false,false
452,黒岩岳,,,,false,false
453,大判山,,,,false,false
454,竜王の峰,33.376944,132.613889,,false,false
455,船ヶ迫岳,33.552778,132.653889,,false,false
456,鎌倉山,33.565278,132.685556,,false,false
457,槇ノ山,,,,false,false
458,遠見山,,,,false,false
459,高森山,33.335556,132.546111,,false,false
460,牛の峰,,,,false,false
461,尻高峰,33.525556,132.471667,,false,false
462,鞍掛山,33.513511,132.446864,,false,false
463,大畑山,33.535972,132.41725,,false,false
464,飯之山,33.473556,132.414444,yamap_2026-02-14_13_33.gpx,true,true
465,権現山,33.483472,132.399583,,false,false
466,大森山,33.479528,132.531278,,false,false
467,高森山,33.435778,132.529806,,false,false
468,町木山,,,,false,false
469,寒台山,33.513472,132.748694,,false,false
470,鎧掛山,33.447556,132.508583,,false,false
471,花見山,33.835833,132.793889,,false,false
472,剣ノ山,33.992222,133.729167,,false,false
473,三傍示山,33.984167,133.716111,,false,false
474,塩塚峰,33.985278,133.6875,yamap_2026-03-08_08_05.gpx,true,true
475,登議城山,,,,false,false
476,愛宕山,,,,false,false
477,笠松山東峰,33.978056,133.058333,yamap_2022-12-25_13_36.gpx,true,true
478,尻割山,33.181111,132.614444,yamap_2022-04-08_09_33.gpx,true,true
479,四本松,33.161111,132.580556,,false,false
480,権現山,33.189167,132.593611,yamap_2026-03-07_11_08.gpx,true,true
481,呉石山,,,,false,false
482,峰畑山,,,,false,false
483,白木山,,,,false,false
484,軽ノ山,33.982222,132.793889,,false,false
485,野津子山,33.978889,132.791111,,false,false
486,長山,,,,false,false
487,高研山,,,,false,false
488,大ノ森,33.593889,132.964444,,false,false
489,雨乞山,,,,false,false
490,妙見森,33.535556,132.905556,,false,false
491,笹峠山,33.504167,132.846389,,false,false
492,雨霧山,,,,false,false
493,三郷の辻,33.626944,132.991667,,false,false
494,権現山,33.945833,132.784722,,false,false
495,雨乞山,,,,false,false
496,鼻欠山,,,,false,false
497,面木山,33.824722,132.946944,yamap_2022-01-29_08_35.gpx,true,true
498,黒森,33.805556,132.941667,,false,false
499,台ヶ森,33.778611,133.155556,,false,false
500,丸山,33.821389,133.315278,yamap_2022-11-26_04_41.gpx,true,true
501,大森山,33.782402,133.153201,,false,false
502,うつむき山,33.568889,132.755111,,false,false
503,妙見山,33.559167,132.600056,,false,false
504,鉢が森,33.399236,132.615513,,false,false
505,高山寺山,33.522925,132.510191,,false,false
506,陣ヶ森,33.590092,132.709728,,false,false
507,牛ヶ首,33.92209,133.35514,,false,false
508,三石山,33.568778,132.856417,,false,false
509,感応寺山,33.561222,132.579639,,false,false
510,水無権現,33.612515,132.72112,,false,false
511,秋葉山,33.596611,132.606278,,false,false
512,黒山,33.638972,132.610639,,false,false
513,大野山,33.423639,132.552972,,false,false
514,棟山,33.622639,132.6035,,false,false
515,星ヶ森,33.835478,133.107797,,false,false
516,草屋敷,33.606248,132.614092,,false,false
517,大熊山,33.767056,132.938056,,false,false
518,笠松山,33.694307,132.89529,yamap_2023-04-09_09_08.gpx,true,true
519,蒲山,33.645583,132.76275,,false,false
520,牛ノ峯,33.656753,132.649133,,false,false
521,小森,33.791278,133.154833,,false,false
522,辻ヶ峰,33.891811,133.292249,,false,false
523,常住,33.781833,133.169194,,false,false
524,熊鷹山,33.910568,133.401798,,false,false
525,櫛ヶ峰,33.867577,133.222072,,false,false
526,大旗山,33.507467,132.828131,,false,false
527,兵庫山,33.84801,133.50827,,false,false
528,生之越,33.466177,132.958796,,false,false
529,玉取山,33.863523,133.526051,,false,false
530,三ヶ森,33.803672,132.06812,,false,false
531,扇山,33.8244,133.214509,,false,false
